***Anti-Pattern*** 
Count: 13
 /meta 	 Contextless Resource Names
 /linkRepositoryToProject 	 Contextual Resource Names
 /lockLockable 	 Contextual Resource Names
 /markDiscussionCommentAsAnswer 	 Contextual Resource Names
 /markFileAsViewed 	 Contextual Resource Names
 /markProjectV2AsTemplate 	 Contextual Resource Names
 /markPullRequestReadyForReview 	 Contextual Resource Names
 /mergeBranch 	 Contextual Resource Names
 /mergePullRequest 	 Contextual Resource Names
 /minimizeComment 	 Contextual Resource Names
 /moveProjectCard 	 Contextual Resource Names
 /moveProjectColumn 	 Contextual Resource Names
 /pinIssue 	 Contextual Resource Names
 /publishSponsorsTier 	 Contextual Resource Names
 /regenerateEnterpriseIdentityProviderRecoveryCodes 	 Contextual Resource Names
 /regenerateVerifiableDomainToken 	 Contextual Resource Names
 /rejectDeployments 	 Contextual Resource Names
 /removeAssigneesFromAssignable 	 Contextual Resource Names
 /removeEnterpriseAdmin 	 Contextual Resource Names
 /removeEnterpriseIdentityProvider 	 Contextual Resource Names
 /removeEnterpriseMember 	 Contextual Resource Names
 /removeEnterpriseOrganization 	 Contextual Resource Names
 /removeEnterpriseSupportEntitlement 	 Contextual Resource Names
 /removeOutsideCollaborator 	 Contextual Resource Names
 /removeReaction 	 Contextual Resource Names
 /removeUpvote 	 Contextual Resource Names
 /reopenDiscussion 	 Contextual Resource Names
 /reopenIssue 	 Contextual Resource Names
 /reopenPullRequest 	 Contextual Resource Names
 /requestReviews 	 Contextual Resource Names
 /resolveReviewThread 	 Contextual Resource Names
 /retireSponsorsTier 	 Contextual Resource Names
 /revertPullRequest 	 Contextual Resource Names
 /revokeEnterpriseOrganizationsMigratorRole 	 Contextual Resource Names
 /revokeMigratorRole 	 Contextual Resource Names
 /setEnterpriseIdentityProvider 	 Contextual Resource Names
 /setOrganizationInteractionLimit 	 Contextual Resource Names
 /setRepositoryInteractionLimit 	 Contextual Resource Names
 /setUserInteractionLimit 	 Contextual Resource Names
 /startOrganizationMigration 	 Contextual Resource Names
 /startRepositoryMigration 	 Contextual Resource Names
 /submitPullRequestReview 	 Contextual Resource Names
 /transferEnterpriseOrganization 	 Contextual Resource Names
 /transferIssue 	 Contextual Resource Names
 /unarchiveProjectV2Item 	 Contextual Resource Names
 /unarchiveRepository 	 Contextual Resource Names
 /unfollowOrganization 	 Contextual Resource Names
 /unfollowUser 	 Contextual Resource Names
 /unlinkProjectV2FromRepository 	 Contextual Resource Names
 /unlinkProjectV2FromTeam 	 Contextual Resource Names
 /unlinkRepositoryFromProject 	 Contextual Resource Names
 /unmarkDiscussionCommentAsAnswer 	 Contextual Resource Names
 /unmarkIssueAsDuplicate 	 Contextual Resource Names
 /unmarkProjectV2AsTemplate 	 Contextual Resource Names
 /unminimizeComment 	 Contextual Resource Names
 /unpinIssue 	 Contextual Resource Names
 /unresolveReviewThread 	 Contextual Resource Names
 /unsubscribeFromNotifications 	 Contextual Resource Names
 /updateBranchProtectionRule 	 Contextual Resource Names
 /updateCheckRun 	 Contextual Resource Names
 /updateCheckSuitePreferences 	 Contextual Resource Names
 /updateDiscussion 	 Contextual Resource Names
 /updateDiscussionComment 	 Contextual Resource Names
 /updateEnterpriseAdministratorRole 	 Contextual Resource Names
 /updateEnterpriseAllowPrivateRepositoryForkingSetting 	 Contextual Resource Names
 /updateEnterpriseDefaultRepositoryPermissionSetting 	 Contextual Resource Names
 /updateEnterpriseMembersCanChangeRepositoryVisibilitySetting 	 Contextual Resource Names
 /updateEnterpriseMembersCanCreateRepositoriesSetting 	 Contextual Resource Names
 /updateEnterpriseMembersCanDeleteIssuesSetting 	 Contextual Resource Names
 /updateEnterpriseMembersCanDeleteRepositoriesSetting 	 Contextual Resource Names
 /updateEnterpriseMembersCanInviteCollaboratorsSetting 	 Contextual Resource Names
 /updateEnterpriseMembersCanMakePurchasesSetting 	 Contextual Resource Names
 /updateEnterpriseMembersCanUpdateProtectedBranchesSetting 	 Contextual Resource Names
 /updateEnterpriseMembersCanViewDependencyInsightsSetting 	 Contextual Resource Names
 /updateEnterpriseOrganizationProjectsSetting 	 Contextual Resource Names
 /updateEnterpriseOwnerOrganizationRole 	 Contextual Resource Names
 /updateEnterpriseProfile 	 Contextual Resource Names
 /updateEnterpriseRepositoryProjectsSetting 	 Contextual Resource Names
 /updateEnterpriseTeamDiscussionsSetting 	 Contextual Resource Names
 /updateEnterpriseTwoFactorAuthenticationRequiredSetting 	 Contextual Resource Names
 /updateEnvironment 	 Contextual Resource Names
 /updateIpAllowListEnabledSetting 	 Contextual Resource Names
 /updateIpAllowListEntry 	 Contextual Resource Names
 /updateIpAllowListForInstalledAppsEnabledSetting 	 Contextual Resource Names
 /updateIssue 	 Contextual Resource Names
 /updateIssueComment 	 Contextual Resource Names
 /updateLabel 	 Contextual Resource Names
 /updateNotificationRestrictionSetting 	 Contextual Resource Names
 /updateOrganizationAllowPrivateRepositoryForkingSetting 	 Contextual Resource Names
 /updateOrganizationWebCommitSignoffSetting 	 Contextual Resource Names
 /updateProject 	 Contextual Resource Names
 /updateProjectCard 	 Contextual Resource Names
 /updateProjectColumn 	 Contextual Resource Names
 /updateProjectV2 	 Contextual Resource Names
 /updateProjectV2Collaborators 	 Contextual Resource Names
 /updateProjectV2DraftIssue 	 Contextual Resource Names
 /updateProjectV2ItemFieldValue 	 Contextual Resource Names
 /updateProjectV2ItemPosition 	 Contextual Resource Names
 /updatePullRequest 	 Contextual Resource Names
 /updatePullRequestBranch 	 Contextual Resource Names
 /updatePullRequestReview 	 Contextual Resource Names
 /updatePullRequestReviewComment 	 Contextual Resource Names
 /updateRef 	 Contextual Resource Names
 /updateRefs 	 Contextual Resource Names
 /updateRepository 	 Contextual Resource Names
 /updateRepositoryRuleset 	 Contextual Resource Names
 /updateRepositoryWebCommitSignoffSetting 	 Contextual Resource Names
 /updateSponsorshipPreferences 	 Contextual Resource Names
 /updateSubscription 	 Contextual Resource Names
 /updateTeamDiscussion 	 Contextual Resource Names
 /updateTeamDiscussionComment 	 Contextual Resource Names
 /updateTeamReviewAssignment 	 Contextual Resource Names
 /updateTeamsRepository 	 Contextual Resource Names
 /updateTopics 	 Contextual Resource Names
 /verifyVerifiableDomain 	 Contextual Resource Names
