***Anti-Pattern*** 
Count: 1
-/v19.0/{application-id}/appassets	Non-pertinent Documentation	appassets
-/act_{ad_account_id}/subscribed_apps	Pertinent Documentation	You can dissociate an Application from an AdAccount by making a DELETE request to /act_{ad_account_id}/subscribed_apps.
-/{application_id}/activities	Pertinent Documentation	Application activities are events from your app.You can use a user access token or app access token to log events to this endpoint.
-/v19.0/{application-id}/ad_placement_groups	Pertinent Documentation	Application Ad Placement Groups
-/v19.0/{application-id}/adnetworkanalytics_results	Pertinent Documentation	Application Adnetworkanalytics Results
-/v19.0/{application-id}/mobile_sdk_gk	Pertinent Documentation	Application Mobile Sdk Gk
-/v19.0/{application-id}/model_asset	Pertinent Documentation	Application Model Asset
-/v19.0/{application-id}/monetized_digital_store_objects	Pertinent Documentation	Application Monetized Digital Store Objects
-/v19.0/{application-id}/permissions	Pertinent Documentation	Application Permissions
-/v19.0/{app-id}/picture	Pertinent Documentation	An app's profile picture.
-/v19.0/{application-id}/products	Pertinent Documentation	product_ids list<string> List of product ids (e.g. 'golden_gem') to retrieve info about
-/v19.0/{application-id}/purchases	Pertinent Documentation	Application Purchases
-/v19.0/{app-id}/roles	Pertinent Documentation	The developer roles defined for a Facebook app.
-/v19.0/{app-id}/scores	Pertinent Documentation	Scores from this Facebook game for a user and their friends.
-/v19.0/{app-id}/scores	Pertinent Documentation	You can delete all scores from your app using this edge. To delete individual scores, use the /{user-id}/scores edge.
-/v19.0/{application-id}/subscribed_domains	Pertinent Documentation	Application Subscribed Domains
-/v19.0/{application-id}/subscribed_domains_phishing	Pertinent Documentation	Application Subscribed Domains Phishing
-/v19.0/{app-id}/subscriptions	Pertinent Documentation	You can create new Webhooks subscriptions using this edge
-/v19.0/{app-id}/subscriptions	Pertinent Documentation	You can delete all or per-object subscriptions using this operation:
-/v19.0/{app-id}/translations	Pertinent Documentation	You can specify new strings to be translated for your app using this edge:
-/v19.0/branded_content_search	Pertinent Documentation	Returns branded content based on your search. By default we only return content that is currently available on Facebook or Instagram, and content that was created on or after August 17, 2023.
-/v19.0/{cpas-advertiser-partnership-recommendation-id}	Pertinent Documentation	Returns a recommendation of a single retailer for a specific brand. This endpoint returns a retailer-brand pair and an advertiser who can advertise on behalf of the producer.
-/v19.0/{canvas-id}	Pertinent Documentation	A canvas document
-/v19.0/{canvas-id}/preview	Pertinent Documentation	Get preview HTML embed element
-/v19.0/{canvas-id}/previews	Pertinent Documentation	Get preview notifications for the canvas. Sends a Canvas preview notification to specified page admin ids.
