***Anti-Pattern*** 
Count: 96

***Patterns*** 
Count: 0
GET	 /ping 	Parameter Adherence	Returns the literal string 'pong'.
POST	 /tokenizeNetworkToken 	Parameter Adherence	Tokenize a network tokenized payment instrument and return a payload that includes a single-use payment method.
POST	 /tokenizeSamsungPayCard 	Parameter Adherence	Tokenize Samsung Pay card fields and return a payload that includes a single-use payment method.
POST	 /tokenizeUsBankAccount 	Parameter Adherence	Tokenize US bank account fields and return a payload that includes a single-use payment method.
POST	 /tokenizeUsBankLogin 	Parameter Adherence	Tokenize US bank login fields and return a payload that includes a single-use payment method.
POST	 /tokenizePayPalOneTimePayment 	Parameter Adherence	Tokenize PayPal One-Time Payment and return a payload that includes a single-use payment method.
POST	 /createPayPalOneTimePayment 	Parameter Adherence	Set up a PayPal One-Time Payment for approval by a PayPal user. See documentation for more information. Your account must be enabled for this feature.
POST	 /tokenizePayPalBillingAgreement 	Parameter Adherence	Tokenize PayPal account and return a payload that includes a single-use payment method.
POST	 /createPayPalBillingAgreement 	Parameter Adherence	Set up a PayPal Billing Agreement Token for approval by a PayPal user.
POST	 /createCustomer 	Parameter Adherence	Create a customer for storing individual customer information and/or grouping transactions and multi-use payment methods.
POST	 /updateCustomer 	Parameter Adherence	Update a customer's information.
POST	 /deleteCustomer 	Parameter Adherence	Delete a customer, breaking association between any of the customer's transactions. Will not delete if the customer has existing payment methods.
POST	 /updateCreditCardBillingAddress 	Parameter Adherence	Set a new billing address for a multi-use credit card payment method. By default, this mutation will also verify the card with the new billing address before updating.
POST	 /updateCreditCardCardholderName 	Parameter Adherence	Set a new cardholder name for a multi-use credit card payment method. By default, this mutation will also verify the card with the new cardholder name before updating.
POST	 /updateCreditCardExpirationDate 	Parameter Adherence	Set a new expiration date for a multi-use credit card payment method. By default, this mutation will also verify the card with the new expiration date before updating.
POST	 /performThreeDSecureLookup 	Parameter Adherence	Attempt to perform 3D Secure Authentication on credit card payment method. This may consume the payment method and return a new single-use payment method.
POST	 /acceptDispute 	Parameter Adherence	Accepts a dispute and returns a payload that includes the dispute that was accepted. Only disputes with a status of OPEN can be accepted.
POST	 /finalizeDispute 	Parameter Adherence	Finalizes a dispute and returns a payload that includes the dispute that was finalized. Only disputes with a status of OPEN can be finalized.
POST	 /createDisputeTextEvidence 	Parameter Adherence	Creates text evidence to a dispute and returns a payload that includes the evidence that was created. Only disputes with a status of OPEN can have text evidence created for them.
POST	 /deleteDisputeEvidence 	Parameter Adherence	Deletes evidence from a dispute.
POST	 /createDisputeFileEvidence 	Parameter Adherence	Uploads an evidence file and associates it with a dispute. Note:: file upload requires a special request format. See the 'Uploading Files' integration guide for instructions on how to perform this mutation.
POST	 /vaultPayPalBillingAgreement 	Parameter Adherence	Vault an existing PayPal Billing Agreement that was not created through Braintree. Only use this mutation if you need to import PayPal Billing Agreements from an existing PayPal integration into your Braintree account.
POST	 /sandboxSettleTransaction 	Parameter Adherence	Force a transaction to settle in the sandbox environment. Generates an error elsewhere.
POST	 /createInStoreLocation 	Parameter Adherence	Creates a new In-Store Location to associate Readers.
POST	 /updateInStoreLocation 	Parameter Adherence	Updates an In-Store Location.
POST	 /pairInStoreReader 	Parameter Adherence	Pairs a Reader to an account and In-Store Location.
POST	 /updateInStoreReader 	Parameter Adherence	Updates an In-Store Reader.
POST	 /requestChargeFromInStoreReader 	Parameter Adherence	Request an in-store reader to begin the charge flow.
POST	 /requestAuthorizeFromInStoreReader 	Parameter Adherence	Request an in-store reader to begin the authorize flow. Only supported on payment application versions >= 5.1.0.
POST	 /requestCancelFromInStoreReader 	Parameter Adherence	Request an in-store reader to cancel the charge flow.
POST	 /requestRefundFromInStoreReader 	Parameter Adherence	Request an in-store reader to start an unreferenced refund flow.
POST	 /requestVaultFromInStoreReader	Parameter Adherence	Request an in-store reader to vault a payment method.
POST	 /requestTextDisplayFromInStoreReader 	Parameter Adherence	Request an in-store reader to display text.
POST	 /requestItemDisplayFromInStoreReader 	Parameter Adherence	Request an in-store reader to display line items.
POST	 /requestFirmwareUpdateFromInStoreReader 	Parameter Adherence	Request an in-store reader to update to the latest version of software.
POST	 /requestSignaturePromptFromInStoreReader 	Parameter Adherence	Request an in-store reader to display a signature prompt. Only supported on payment application versions >= 3.3.0.
POST	 /requestConfirmationPromptFromInStoreReader	Parameter Adherence	Request an in-store reader to display a confirmation prompt. Only supported on payment application versions >= 3.3.0.
POST	 /requestNonPciCardDataFromInStoreReader 	Parameter Adherence	Request an in-store reader to collect non PCI-scoped card data. Only supported on payment application versions >= 5.2.0.
POST	 /requestAmountPromptFromInStoreReader 	Parameter Adherence	Request an in-store reader to display an amount prompt. Only supported on payment application versions >= 5.2.0.
POST	 /requestTextPromptFromInStoreReader 	Parameter Adherence	Request an in-store reader to display a text prompt. Only supported on payment application versions >= 5.2.0.
POST	 /createVenmoPaymentContext 	Parameter Adherence	Create a Venmo payment context.
POST	 /updateTransactionAmount 	Parameter Adherence	Updates the authorization amount of the transaction.
POST	 /generateExchangeRateQuote 	Parameter Adherence	Generate a customized currency exchange rate quote for items on a merchant's page. This allows merchants to advertise products in their customer's currency. Your account must be enabled to use this feature.
POST	 /createNonInstantLocalPaymentContext 	Parameter Adherence	Creates a non-instant local payment context. Your account must be enabled to use this feature.
POST	 /DisputeEvidence/{id} 	Parameter Adherence	Evidence provided by a merchant to respond to a dispute.
POST	 /DisputeEvidence/{legacyId} 	Parameter Adherence	Evidence provided by a merchant to respond to a dispute.
POST	 /InStoreContextResult/{id} 	Parameter Adherence	Reference object for an in-store request.
POST	 /InStoreReaderOriginDetails 	Parameter Adherence	Additional information about the payment method supplied by an in-store payment reader.
POST	 /Node/{id} 	Parameter Adherence	Relay compatible Node interface.
POST	 /Payment/{id} 	Parameter Adherence	A merchant-initiated movement of money between the merchant and a customer, by way of a payment method. Payments can represent money moving either from a customer to the merchant by charging a payment method (a Transaction), or from the merchant back to a customer by refunding a previous transaction (a Refund).
POST	 /Payment/{legacyId} 	Parameter Adherence	A merchant-initiated movement of money between the merchant and a customer, by way of a payment method. Payments can represent money moving either from a customer to the merchant by charging a payment method (a Transaction), or from the merchant back to a customer by refunding a previous transaction (a Refund).
POST	 /PaymentContext 	Parameter Adherence	Context associated with a transaction.
POST	 /PaymentStatusEvent 	Parameter Adherence	Status event in the lifecycle of a payment.
POST	 /AccountCreationStatus 	Parameter Adherence	The status of the business account creation request.
POST	 /ApplePayStatus 	Parameter Adherence	The environment being used for Apple Pay.
POST	 /ApplicationBankAccountPurpose 	Parameter Adherence	The purpose of the merchant application bank account.
POST	 /ApplicationStatus 	Parameter Adherence	The status of a merchant account application.
POST	 /BinRecordValue 	Parameter Adherence	A boolean-like value that includes UNKNOWN in the case where the information isn't available.
