***Anti-Pattern*** 
Count: 0

***Patterns*** 
Count: 96
GET	/ping	[Regular Endpoints]	Returns the literal string 'pong'.
POST	/createInStoreLocation	[Regular Endpoints]	Creates a new In-Store Location to associate Readers.
POST	/updateInStoreLocation	[Regular Endpoints]	Updates an In-Store Location.
POST	/pairInStoreReader	[Regular Endpoints]	Pairs a Reader to an account and In-Store Location.
POST	/updateInStoreReader	[Regular Endpoints]	Updates an In-Store Reader.
POST	/requestChargeFromInStoreReader	[Regular Endpoints]	Request an in-store reader to begin the charge flow.
POST	/requestAuthorizeFromInStoreReader	[Regular Endpoints]	Request an in-store reader to begin the authorize flow. Only supported on payment application versions >= 5.1.0.
POST	/requestCancelFromInStoreReader	[Regular Endpoints]	Request an in-store reader to cancel the charge flow.
POST	/requestRefundFromInStoreReader	[Regular Endpoints]	Request an in-store reader to start an unreferenced refund flow.
POST	/requestVaultFromInStoreReader	[Regular Endpoints]	Request an in-store reader to vault a payment method.
POST	/requestTextDisplayFromInStoreReader	[Regular Endpoints]	Request an in-store reader to display text.
POST	/requestItemDisplayFromInStoreReader	[Regular Endpoints]	Request an in-store reader to display line items.
POST	/requestFirmwareUpdateFromInStoreReader	[Regular Endpoints]	Request an in-store reader to update to the latest version of software.
POST	/requestSignaturePromptFromInStoreReader	[Regular Endpoints]	Request an in-store reader to display a signature prompt. Only supported on payment application versions >= 3.3.0.
POST	/requestConfirmationPromptFromInStoreReader	[Regular Endpoints]	Request an in-store reader to display a confirmation prompt. Only supported on payment application versions >= 3.3.0.
POST	/requestNonPciCardDataFromInStoreReader	[Regular Endpoints]	Request an in-store reader to collect non PCI-scoped card data. Only supported on payment application versions >= 5.2.0.
POST	/requestAmountPromptFromInStoreReader	[Regular Endpoints]	Request an in-store reader to display an amount prompt. Only supported on payment application versions >= 5.2.0.
POST	/requestTextPromptFromInStoreReader	[Regular Endpoints]	Request an in-store reader to display a text prompt. Only supported on payment application versions >= 5.2.0.
POST	/createVenmoPaymentContext	[Regular Endpoints]	Create a Venmo payment context.
POST	/updateTransactionAmount	[Regular Endpoints]	Updates the authorization amount of the transaction.
POST	/generateExchangeRateQuote	[Regular Endpoints]	Generate a customized currency exchange rate quote for items on a merchant's page. This allows merchants to advertise products in their customer's currency. Your account must be enabled to use this feature.
POST	/createNonInstantLocalPaymentContext	[Regular Endpoints]	Creates a non-instant local payment context. Your account must be enabled to use this feature.
POST	/DisputeEvidence/{id}	[Identifier is Enclosed in {} or <> or Starts with :]	Evidence provided by a merchant to respond to a dispute.
POST	/DisputeEvidence/{legacyId}	[Identifier is Enclosed in {} or <> or Starts with :]	Evidence provided by a merchant to respond to a dispute.
POST	/InStoreContextResult/{id}	[Identifier is Enclosed in {} or <> or Starts with :]	Reference object for an in-store request.
POST	/InStoreReaderOriginDetails	[Regular Endpoints]	Additional information about the payment method supplied by an in-store payment reader.
POST	/Node/{id}	[Identifier is Enclosed in {} or <> or Starts with :]	Relay compatible Node interface.
POST	/Payment/{id}	[Identifier is Enclosed in {} or <> or Starts with :]	A merchant-initiated movement of money between the merchant and a customer, by way of a payment method. Payments can represent money moving either from a customer to the merchant by charging a payment method (a Transaction), or from the merchant back to a customer by refunding a previous transaction (a Refund).
POST	/Payment/{legacyId}	[Identifier is Enclosed in {} or <> or Starts with :]	A merchant-initiated movement of money between the merchant and a customer, by way of a payment method. Payments can represent money moving either from a customer to the merchant by charging a payment method (a Transaction), or from the merchant back to a customer by refunding a previous transaction (a Refund).
POST	/PaymentContext	[Regular Endpoints]	Context associated with a transaction.
POST	/PaymentStatusEvent	[Regular Endpoints]	Status event in the lifecycle of a payment.
POST	/AccountCreationStatus	[Regular Endpoints]	The status of the business account creation request.
POST	/ApplePayStatus	[Regular Endpoints]	The environment being used for Apple Pay.
POST	/ApplicationBankAccountPurpose	[Regular Endpoints]	The purpose of the merchant application bank account.
POST	/ApplicationStatus	[Regular Endpoints]	The status of a merchant account application.
POST	/BinRecordValue	[Regular Endpoints]	A boolean-like value that includes UNKNOWN in the case where the information isn't available.
