id,api_type,api_name,http_verb,uri,descriptions,parameters,amorphous_uri,tidy_uri,amorphous_comment,inconsistent_archetype,consistent_archetype,inconsistent_archetype_comment,flat_endpoint,structured_endpoint,flat_endpoint_comment
34,REST,Adobe Audience Manager,GET , /data-feeds/{dataSourceId}/requests/{requestId} ," Gets a 'Data Feed Request' with 'requestId'.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
35,REST,Adobe Audience Manager,PUT , /data-feeds/{dataSourceId}/requests/{requestId} ," Updates an existing 'Data Feed Request'.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
36,REST,Adobe Audience Manager,GET , /data-feeds/{dataSourceId}/potential-subscribers/ ," Returns the list of potential subscribers for a 'Data Feed'.
",,1,0, [trailing slash found] ,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
37,REST,Adobe Audience Manager,GET , /data-feeds/{dataSourceId}/plans/{planId} ," Gets a 'Data Feed Plan' under a 'Data Feed'.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
38,REST,Adobe Audience Manager,PUT , /data-feeds/{dataSourceId}/plans/{planId} ," Updates a 'Data Feed Plan' under a 'Data Feed'.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
39,REST,Adobe Audience Manager,DELETE , /data-feeds/{dataSourceId}/plans/{planId} ," Deletes a 'Data Feed Plan' under a 'Data Feed'.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
40,REST,Adobe Audience Manager,GET , /datasources/ ," Returns details about all GENERAL data sources.
",,1,0, [trailing slash found] ,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
41,REST,Adobe Audience Manager,POST , /datasources/ ," Creates a Data Source of the type GENERAL or MERGE RULE.
",,1,0, [trailing slash found] ,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
42,REST,Adobe Audience Manager,GET , /datasources/{dataSourceId} ," Returns details about a specific data source.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
43,REST,Adobe Audience Manager,PUT , /datasources/{dataSourceId} ," Update a specific GENERAL or MERGE_RULE data source.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
44,REST,Adobe Audience Manager,DELETE , /datasources/{dataSourceId} ," Delete a specific data source.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
45,REST,Adobe Audience Manager,POST , /datasources/bulk-delete ," Bulk delete multiple data sources.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
46,REST,Adobe Audience Manager,GET , /datasources/configurations/available-id-types ," Returns all available data source ID types.
",,0,1,Tidy Endpoint,1,0,Plural Nouns Found in Consecutive Nodes,1,0,Complex Words Present in Endpoint
47,REST,Adobe Audience Manager,GET , /datasources/configurations/marketing-cloud-visitorid-versions ," Returns a list of all active Experience Cloud visitor ID versions.
",,0,1,Tidy Endpoint,1,0,Plural Nouns Found in Consecutive Nodes,1,0,Complex Words Present in Endpoint
48,REST,Adobe Audience Manager,GET , /datasources/{dataSourceId}/history/inbound ," Returns Onboarding Status Report with success and failure rates for inbound data source files.
",,0,1,Tidy Endpoint,1,0,Singular Nouns Found in Consecutive Nodes,1,0,Complex Words Present in Endpoint
49,REST,Adobe Audience Manager,GET , /datasources/{dataSourceId}/history/inbound/sampling-data ," Returns sampling data for a datasource for onboarding (inbound) files.
",,0,1,Tidy Endpoint,1,0,Singular Nouns Found in Consecutive Nodes,1,0,Complex Words Present in Endpoint
50,REST,Adobe Audience Manager,GET , /signals/derived/{derivedSignalId} ," Returns information about a single derived signal.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
51,REST,Adobe Audience Manager,PUT , /signals/derived/{derivedSignalId} ," Updates a single derived signal.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
52,REST,Adobe Audience Manager,DELETE , /signals/derived/{derivedSignalId} ," Deletes a single derived signal.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
53,REST,Adobe Audience Manager,GET , /signals/derived ," Returns an array of derived signals and their information.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
54,REST,Adobe Audience Manager,POST , /signals/derived ," Creates a new derived signal
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
55,REST,Adobe Audience Manager,GET , /signals/derived/limits ," Returns a count of the maximum number of derived signals you can create.
",,0,1,Tidy Endpoint,0,1,Consistent Arhetypes,0,1,Structed Endpoint
56,REST,Adobe Audience Manager,POST , /destinations/ ," Creates a new destination.
",,1,0, [trailing slash found] ,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
57,REST,Adobe Audience Manager,GET , /destinations/ ," Returns data for all your destinations.
",,1,0, [trailing slash found] ,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
58,REST,Adobe Audience Manager,GET , /destinations/limits ," Returns a count of the maximum number of destinations you can create.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
59,REST,Adobe Audience Manager,GET , /destinations/{destinationId}/history/outbound/ ," Returns outbound history for a specific destination by 'destinationId'.
",,1,0, [trailing slash found] ,1,0,Singular Nouns Found in Consecutive Nodes,0,1,Structed Endpoint
60,REST,Adobe Audience Manager,GET , /destinations/{destinationId} ," Returns a specific destination by 'destinationId'.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
61,REST,Adobe Audience Manager,DELETE , /destinations/{destinationId} ," Deletes a specific destination by 'destinationId'.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
62,REST,Adobe Audience Manager,PUT , /destinations/{destinationId} ," Updates a specific destination by 'destinationId'.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
63,REST,Adobe Audience Manager,POST , /destinations/{destinationId}/bulk-create ," Creates multiple destination mappings for a specified destination by 'destinationId' in one operation.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
64,REST,Adobe Audience Manager,POST , /destinations/{destinationId}/bulk-delete ," Deletes multiple destination mappings for one specified destination by 'destinationId' in one operation.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
65,REST,Adobe Audience Manager,GET , /destinations/{destinationId}/mappings-by-priority/ , Returns a list of destination mappings for a specific cookie destination by 'destinationId' in the ascending order of priority.,,1,0, [trailing slash found] ,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
66,REST,Amazon AWS Core IoT,PATCH , /accept-certificate-transfer/certificateId?setAsActive=setAsActive ," Accepts a pending certificate transfer. The default state of the certificate is INACTIVE. To check for pending certificate transfers, call ListCertificates to enumerate your certificates.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
67,REST,Amazon AWS Core IoT,PUT , /billing-groups/addThingToBillingGroup ," Adds a thing to a billing group.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
68,REST,Amazon AWS Core IoT,PUT , /thing-groups/addThingToThingGroup ," Adds a thing to a thing group.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
69,REST,Amazon AWS Core IoT,POST , /jobs/jobId/targets?namespaceId=namespaceId ," Associates a group with a continuous job. The following criteria must be met: The job must have been created with the targetSelection field set to ""CONTINUOUS"". The job status must currently be ""IN_PROGRESS"". The total number of targets associated with a job must not exceed 100.
",,0,1,Tidy Endpoint,0,1,Consistent Arhetypes,0,1,Structed Endpoint
70,REST,Amazon AWS Core IoT,PUT , /target-policies/policyName ," Attaches a policy to the specified target.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
71,REST,Amazon AWS Core IoT,PUT , /principal-policies/policyName ," Attaches the specified policy to the specified principal (certificate or other credential).
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
72,REST,Amazon AWS Core IoT,PUT , /security-profiles/securityProfileName/targets?securityProfileTargetArn=securityProfileTargetArn ," Associates a Device Defender security profile with a thing group or this account. Each thing group or account can have up to five security profiles associated with it.
",,0,1,Tidy Endpoint,0,1,Consistent Arhetypes,1,0,Complex Words Present in Endpoint
73,REST,Amazon AWS Core IoT,PUT , /things/thingName/principals ," Attaches the specified principal to the specified thing. A principal can be X.509 certificates, IAM users, groups, and roles, Amazon Cognito identities or federated identities.
",,0,1,Tidy Endpoint,0,1,Consistent Arhetypes,0,1,Structed Endpoint
74,REST,Amazon AWS Core IoT,PUT , /audit/mitigationactions/tasks/taskId/cancel ," Cancels a mitigation action task that is in progress. If the task is not in progress, an InvalidRequestException occurs.
",,0,1,Tidy Endpoint,1,0,Singular Nouns Found in Consecutive Nodes,0,1,Structed Endpoint
75,REST,Amazon AWS Core IoT,PUT , /audit/tasks/taskId/cancel ," Cancels an audit that is in progress. The audit can be either scheduled or on-demand. If the audit is not in progress, an ""InvalidRequestException"" occurs.
",,0,1,Tidy Endpoint,1,0,Singular Nouns Found in Consecutive Nodes,0,1,Structed Endpoint
76,REST,Amazon AWS Core IoT,PATCH , /jobs/jobId?namespaceId=namespaceId ," Updates supported fields of the specified job.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
77,REST,Amazon AWS Core IoT,POST , /indexing/config ," Updates the search configuration.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
78,REST,Amazon AWS Core IoT,PATCH , /dynamic-thing-groups/thingGroupName ," Updates a dynamic thing group.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
79,REST,Amazon AWS Core IoT,PUT , /domainConfigurations/domainConfigurationName ," Updates values stored in the domain configuration. Domain configurations for default endpoints can't be updated.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
80,REST,Amazon AWS Core IoT,PATCH , /dimensions/name ," Updates the definition for a dimension. You cannot change the type of a dimension after it is created (you can delete it and re-create it).
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
81,REST,Amazon AWS Core IoT,PUT , /certificates/certificateId?newStatus=newStatus ," Updates the status of the specified certificate. This operation is idempotent. Certificates must be in the ACTIVE state to authenticate devices that use a certificate to connect to AWS IoT. Within a few minutes of updating a certificate from the ACTIVE state to any other state, AWS IoT disconnects all devices that used that certificate to connect. Devices cannot use a certificate that is not in the ACTIVE state to reconnect.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
82,REST,Amazon AWS Core IoT,PATCH , /billing-groups/billingGroupName ," Updates information about the billing group.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
83,REST,Amazon AWS Core IoT,PUT , /authorizer/authorizerName ," Updates an authorizer.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
84,REST,Amazon AWS Core IoT,PATCH , /audit/suppressions/update ," Updates a Device Defender audit suppression.
",,0,1,Tidy Endpoint,0,1,Consistent Arhetypes,0,1,Structed Endpoint
85,REST,Amazon AWS Core IoT,PATCH , /audit/configuration ," Configures or reconfigures the Device Defender audit settings for this account. Settings include how audit notifications are sent and which audit checks are enabled or disabled.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
86,REST,Amazon AWS Core IoT,PATCH , /provisioning-templates/templateName ," Updates a fleet provisioning template.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
87,REST,Amazon AWS Core IoT,PUT , /role-aliases/roleAlias ," Updates a role alias.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
88,REST,Amazon AWS Core IoT,PATCH , /audit/scheduledaudits/scheduledAuditName ," Updates a scheduled audit, including which checks are performed and how often the audit takes place.
",,0,1,Tidy Endpoint,0,1,Consistent Arhetypes,1,0,Complex Words Present in Endpoint
89,REST,Amazon AWS Core IoT,PATCH , /security-profiles/securityProfileName?expectedVersion=expectedVersion ," Updates a Device Defender security profile.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
90,REST,Amazon AWS Core IoT,PUT , /streams/streamId ," Updates an existing stream. The stream version will be incremented by one.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
91,REST,Amazon AWS Core IoT,PATCH , /things/thingName ," Updates the data for a thing.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
92,REST,Amazon AWS Core IoT,PATCH , /thing-groups/thingGroupName ," Update a thing group.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
93,REST,Amazon AWS Core IoT,PUT , /thing-groups/updateThingGroupsForThing ," Updates the groups to which the thing belongs.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
94,REST,Amazon AWS Core IoT,PATCH , /destinations ," Updates a topic rule destination. You use this to change the status, endpoint URL, or confirmation URL of the destination.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
95,REST,Amazon AWS Core IoT,POST , /security-profile-behaviors/validate ," Validates a Device Defender security profile behaviors specification.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
96,REST,Amazon AWS Core IoT,PATCH , /transfer-certificate/certificateId?targetAwsAccount=targetAwsAccount ," Transfers the specified certificate to the specified AWS account. You can cancel the transfer until it is acknowledged by the recipient. No notification is sent to the transfer destination's account. It is up to the caller to notify the transfer target. The certificate being transferred must not be in the ACTIVE state. You can use the UpdateCertificate API to deactivate it. The certificate must not have any policies attached to it. You can use the DetachPrincipalPolicy API to detach them.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
97,REST,Amazon AWS Core IoT,POST , /authorizer/authorizerName/test ," Tests a custom authorization behavior by invoking a specified custom authorizer. Use this to test and debug the custom authorization behavior of devices that connect to the AWS IoT device gateway.
",,0,1,Tidy Endpoint,1,0,Singular Nouns Found in Consecutive Nodes,0,1,Structed Endpoint
98,REST,Amazon AWS Core IoT,POST , /test-authorization?clientId=clientId ," Tests if a specified principal is authorized to perform an AWS IoT action on a specified resource. Use this to test and debug the authorization behavior of devices that connect to the AWS IoT device gateway.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
99,REST,Amazon AWS Core IoT,POST , /tags ," Adds to or modifies the tags of the given resource. Tags are metadata which can be used to manage a resource.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
100,REST,Amazon AWS Core IoT,POST , /thing-registration-tasks ," Creates a bulk thing provisioning task.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
101,REST,Amazon AWS Core IoT,POST , /audit/tasks ," Starts an on-demand Device Defender audit.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
102,REST,Amazon AWS Core IoT,POST , /audit/mitigationactions/tasks/taskId ," Starts a task that applies a set of mitigation actions to the specified target.
",,0,1,Tidy Endpoint,1,0,Plural Nouns Found in Consecutive Nodes,0,1,Structed Endpoint
103,REST,Amazon AWS Core IoT,POST , /loggingOptions ," Sets the logging options. NOTE: use of this command is not recommended. Use SetV2LoggingOptions instead.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
104,REST,Amazon AWS Core IoT,PATCH , /policies/policyName/version/policyVersionId ," Sets the specified version of the specified policy as the policy's default (operative) version. This action affects all certificates to which the policy is attached. To list the principals the policy is attached to, use the ListPrincipalPolicy API.
",,0,1,Tidy Endpoint,1,0,Singular Nouns Found in Consecutive Nodes,1,0,Complex Words Present in Endpoint
105,REST,Amazon AWS Core IoT,POST , /default-authorizer ," Sets the default authorizer. This will be used if a websocket connection is made without specifying an authorizer.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
106,REST,Amazon AWS Core IoT,POST , /indices/search ," The query search index.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
107,REST,Amazon AWS Core IoT,PATCH , /rules/ruleName ," Replaces the rule. You must specify all parameters for the new rule. Creating rules is an administrator-level action. Any user who has permission to create rules will be able to access data processed by the rule.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
108,REST,Amazon AWS Core IoT,PUT , /thing-groups/removeThingFromThingGroup ," Remove the specified thing from the specified group. You must specify either a thingGroupArn or a thingGroupName to identify the thing group and either a thingArn or a thingName to identify the thing to remove from the thing group.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
109,REST,Amazon AWS Core IoT,POST , /cacertificate?allowAutoRegistration=allowAutoRegistration&setAsActive=setAsActive ," Registers a CA certificate with AWS IoT. This CA certificate can then be used to sign device certificates, which can be then registered with AWS IoT. You can register up to 10 CA certificates per AWS account that have the same subject field. This enables you to have up to 10 certificate authorities sign your device certificates. If you have more than one CA certificate registered, make sure you pass the CA certificate when you register your device certificates with the RegisterCertificate API.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
110,REST,Amazon AWS Core IoT,GET , /violation-events?endTime=endTime&maxResults=maxResults&nextToken=nextToken&securityProfileName=securityProfileName&startTime=startTime&thingName=thingName ," Lists the Device Defender security profile violations discovered during the given time period. You can use filters to limit the results to those alerts issued for a particular security profile, behavior, or thing (device).
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
111,REST,Amazon AWS Core IoT,GET , /v2LoggingLevel?maxResults=maxResults&nextToken=nextToken&targetType=targetType ," Lists logging levels.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,1,0,Complex Words Present in Endpoint
112,REST,Amazon AWS Core IoT,GET , /rules?maxResults=maxResults&nextToken=nextToken&ruleDisabled=ruleDisabled&topic=topic ," Lists the rules for the specific topic.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
113,REST,Amazon AWS Core IoT,GET , /destinations?maxResults=maxResults&nextToken=nextToken ," Lists all the topic rule destinations in your AWS account.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
114,REST,Amazon AWS Core IoT,GET , /thing-types?maxResults=maxResults&nextToken=nextToken&thingTypeName=thingTypeName ," Lists the existing thing types.
",,0,1,Tidy Endpoint,0,1,Less than 3 nodes present in endpoint,0,1,Structed Endpoint
115,REST,Amazon AWS Core IoT,GET , /thing-groups/thingGroupName/things?maxResults=maxResults&nextToken=nextToken&recursive=recursive ," Lists the things in the specified group.
",,0,1,Tidy Endpoint,0,1,Consistent Arhetypes,1,0,Complex Words Present in Endpoint
116,REST,Amazon AWS Core IoT,GET , /billing-groups/billingGroupName/things?maxResults=maxResults&nextToken=nextToken ," Lists the things you have added to the given billing group.
",,0,1,Tidy Endpoint,0,1,Consistent Arhetypes,1,0,Complex Words Present in Endpoint
