API Name,Amorphous Endpoint,Tidy Endpoint,Contextless Resource,Contextual Resource,CRUDy Endpoint,Verbless Endpoint,Inconsistent Documentation,Consistent Documentation,NonDescriptive Endpoint,Descriptive Endpoint,NonHierarchical Nodes,Hierarchical Nodes,NonPertinent Documentation,Pertinent Documentation,NonStandard Endpoint,Standard Endpoint,Pluralized Nodes,Singularized Nodes,Unversioned Endpoint,Versioned Endpoint,Parameter Tunneling,Parameter Adherence,Inconsistent Archetype,Consistent Archetype,Identifier Ambiguity,Identifier Annotation,Flat Endpoint,Structured Endpoint
Linkedin,2,11,2,11,0,13,4,9,5,8,0,13,2,11,2,11,0,13,13,0,4,9,0,13,0,13,0,13
LiveAgent,15,6,0,21,0,21,0,21,5,16,6,15,0,21,0,21,2,19,21,0,1,20,2,19,0,21,0,21
Losant,55,8,0,63,2,61,3,60,17,46,8,55,3,60,0,63,18,45,63,0,0,63,19,44,55,8,14,49
Microsoft Azure IoT Hub,78,132,4,206,3,207,67,143,6,204,152,58,5,205,0,210,35,175,2,208,119,91,185,25,0,210,0,210
Microsoft Partner Center,0,70,6,64,0,70,1,69,19,51,3,67,9,61,0,70,10,60,70,0,0,70,30,40,0,70,1,69
Microsoft Power BI,2,32,0,34,0,34,1,33,4,30,1,33,0,34,1,33,4,30,34,0,0,34,15,19,0,34,0,34
Node,0,15,0,15,0,15,0,15,1,14,0,15,0,15,0,15,3,12,15,0,0,15,0,15,0,15,0,15
OpenAI,20,47,1,66,5,62,8,59,1,66,8,59,0,67,0,67,15,52,0,67,0,67,36,31,0,67,16,51
Oracle Cloud Marketplace Publisher,0,43,0,43,0,43,5,38,0,43,3,40,0,43,0,43,4,39,37,6,0,43,7,36,0,43,0,43
Prolateral Core Infrastructure,14,13,0,27,0,27,1,26,1,26,0,27,1,26,0,27,0,27,27,0,0,27,0,27,0,27,1,26
QuickBooks Online,21,0,0,21,0,21,9,12,1,20,0,21,1,20,21,0,12,9,21,0,3,18,1,20,0,21,0,21
Samsung ARTIK Cloud,56,24,4,76,1,79,9,71,2,78,4,76,2,78,60,20,10,70,80,0,0,80,11,69,0,80,0,80
Shopify,71,0,3,68,1,70,1,70,0,71,8,63,1,70,1,70,7,64,71,0,3,68,3,68,0,71,24,47
Sonos,0,49,0,49,2,47,10,39,0,49,3,46,0,49,0,49,30,19,47,2,0,49,34,15,0,49,0,49
StackOverflow,0,77,2,75,6,71,33,44,0,77,1,76,0,77,0,77,30,47,77,0,0,77,29,48,0,77,1,76
SurveyJS,1,23,0,24,5,19,2,22,1,23,3,21,0,24,0,24,2,22,24,0,15,9,0,24,0,24,0,24
The Things Network,0,11,0,11,0,11,5,6,0,11,0,11,0,11,0,11,3,8,11,0,0,11,0,11,0,11,0,11
Twitter,44,60,4,100,39,65,24,80,4,100,10,94,3,101,0,104,35,69,104,0,0,104,33,71,0,104,7,97
Uber,0,14,0,14,0,14,2,12,0,14,2,12,1,13,0,14,2,12,14,0,0,14,0,14,0,14,0,14
WM3 Multishop,43,11,0,54,2,52,3,51,0,54,7,47,2,52,1,53,3,51,54,0,0,54,53,1,0,54,0,54
YouTube,0,50,4,46,1,49,2,48,1,49,1,49,0,50,0,50,22,28,50,0,0,50,0,50,0,50,0,50
AniList,0,27,0,27,9,18,17,10,0,27,2,25,0,27,0,27,26,1,0,27,0,27,2,25,0,27,0,27
AppleMusic,0,99,0,99,4,95,0,99,0,99,0,99,1,98,0,99,1,98,0,99,0,99,98,1,0,99,3,96
Artsy,5,16,0,21,1,20,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,1,20,0,21
Braintree,4,92,3,93,24,72,44,52,2,94,7,89,1,95,0,96,83,13,96,0,0,96,0,96,0,96,0,96
Conduit,2,28,0,30,0,30,2,28,8,22,0,30,3,27,0,30,12,18,30,0,0,30,19,11,0,30,1,29
DailyMotion,51,5,36,20,0,56,0,56,27,29,1,55,35,21,2,54,0,56,56,0,0,56,0,56,3,53,16,40
DueDil,0,33,3,30,4,29,0,33,33,0,0,33,14,19,0,33,4,29,0,33,0,33,30,3,0,33,3,30
Facebook,32,34,0,66,1,65,10,56,5,61,6,60,0,66,0,66,7,59,14,52,0,66,0,66,0,66,22,44
GitHub,19,237,28,228,127,129,102,154,13,243,21,235,2,254,0,256,216,40,256,0,0,256,0,256,0,256,0,256
GitLab,1,54,6,49,0,55,0,55,1,54,3,52,1,54,0,55,0,55,55,0,0,55,0,55,0,55,0,55
Hygraph,0,15,2,13,0,15,3,12,10,5,1,14,5,10,0,15,0,15,1,14,0,15,4,11,0,15,0,15
IBM Anomaly Detection,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,5,2,7,0,0,7,5,2,0,7,0,7
IBM Partner Marketplace,0,48,3,45,0,48,2,46,6,42,4,44,6,42,1,47,2,46,48,0,0,48,11,37,0,48,0,48
IBM Sterling Inventory Visibility,8,32,0,40,4,36,9,31,0,40,2,38,3,37,0,40,8,32,0,40,0,40,33,7,0,40,0,40
IBM Sterling Supply Chain Insights,2,192,47,147,0,194,29,165,138,56,0,194,45,149,0,194,43,151,194,0,0,194,1,193,0,194,1,193
Instagram,9,19,0,28,0,28,1,27,0,28,0,28,0,28,5,23,2,26,26,2,3,25,0,28,0,28,26,2
Intuit,0,41,0,41,28,13,2,39,0,41,0,41,0,41,0,41,41,0,41,0,0,41,0,41,0,41,0,41
Netflix,0,17,0,17,0,17,1,16,1,16,1,16,0,17,0,17,8,9,17,0,0,17,0,17,0,17,0,17
Northflank,0,225,2,223,0,225,36,189,67,158,12,213,0,225,2,223,60,165,0,225,0,225,200,25,0,225,0,225
NY Times Article Search,11,0,11,0,0,11,0,11,11,0,0,11,11,0,2,9,0,11,6,5,0,11,0,11,0,11,0,11
Pinterest,70,22,2,90,0,92,15,77,34,58,8,84,1,91,0,92,8,84,69,23,0,92,25,67,0,92,56,36
Pipefy,6,84,1,89,55,35,33,57,7,83,12,78,0,90,0,90,62,28,90,0,0,90,0,90,0,90,0,90
Pluralsight,0,69,2,67,14,55,4,65,5,64,2,67,0,69,0,69,15,54,69,0,0,69,0,69,0,69,0,69
Pokeapi,24,0,0,24,0,24,0,24,0,24,1,23,4,20,3,21,0,24,0,24,0,24,0,24,0,24,2,22
Salsify,19,27,2,44,0,46,2,44,10,36,1,45,2,44,1,45,11,35,9,37,0,46,40,6,0,46,1,45
Satispay,6,12,0,18,0,18,0,18,0,18,1,17,0,18,0,18,1,17,1,17,0,18,1,17,0,18,4,14
ScreenCloud,7,96,8,95,0,103,0,103,9,94,8,95,2,101,0,103,0,103,0,103,0,103,0,103,0,103,0,103
Shopify,2,31,0,33,5,28,6,27,1,32,0,33,1,32,0,33,24,9,33,0,0,33,0,33,0,33,0,33
Swapcard,0,30,0,30,28,2,19,11,0,30,11,19,0,30,0,30,23,7,30,0,0,30,0,30,0,30,0,30
Twitter,14,37,1,50,7,44,7,44,4,47,0,51,0,51,0,51,3,48,1,50,0,51,31,20,0,51,3,48
UberEats,6,38,0,44,5,39,9,35,0,44,4,40,1,43,0,44,22,22,0,44,0,44,38,6,0,44,7,37
Yelp Fusion,6,12,0,18,3,15,1,17,3,15,1,17,1,17,0,18,1,17,2,16,0,18,6,12,0,18,3,15
