HTTP Verb,Name,Description,Arguments
POST/PATCH/DELETE,/mutations/closeDiscussion,Close a discussion.,"clientMutationId: A unique identifier for the client performing the mutation., discussion: The discussion that was closed."
POST/PATCH/DELETE,/mutations/closeIssue,Close an issue.,"clientMutationId: A unique identifier for the client performing the mutation., issue: The issue that was closed."
POST/PATCH/DELETE,/mutations/closePullRequest,Close a pull request.,"clientMutationId: A unique identifier for the client performing the mutation., pullRequest: The pull request that was closed."
POST/PATCH/DELETE,/mutations/convertProjectCardNoteToIssue,Convert a project note card to one associated with a newly created issue.,"clientMutationId: A unique identifier for the client performing the mutation., projectCard: The updated ProjectCard."
POST/PATCH/DELETE,/mutations/convertPullRequestToDraft,Converts a pull request to draft.,"clientMutationId: A unique identifier for the client performing the mutation., pullRequest: The pull request that is now a draft."
POST/PATCH/DELETE,/mutations/copyProjectV2,Copy a project.,"clientMutationId: A unique identifier for the client performing the mutation., projectV2: The copied project."
POST/PATCH/DELETE,/mutations/createAttributionInvitation,Invites a user to claim reattributable data.,"clientMutationId: A unique identifier for the client performing the mutation., owner: The owner scoping the reattributable data., source: The account owning the data to reattribute., target: The account which may claim the data."
POST/PATCH/DELETE,/mutations/createBranchProtectionRule,Create a new branch protection rule.,"branchProtectionRule: The newly created BranchProtectionRule., clientMutationId: A unique identifier for the client performing the mutation."
POST/PATCH/DELETE,/mutations/createCheckRun,Create a check run.,"checkRun: The newly created check run., clientMutationId: A unique identifier for the client performing the mutation."
POST/PATCH/DELETE,/mutations/createCheckSuite,Create a check suite.,"checkSuite: The newly created check suite., clientMutationId: A unique identifier for the client performing the mutation."
POST/PATCH/DELETE,/mutations/createCommitOnBranch,"Appends a commit to the given branch as the authenticated user.
This mutation creates a commit whose parent is the HEAD of the provided
branch and also updates that branch to point to the new commit.
It can be thought of as similar to git commit.
Locating a Branch
Commits are appended to a branch of type Ref.
This must refer to a git branch (i.e.  the fully qualified path must
begin with refs/heads/, although including this prefix is optional.
Callers may specify the branch to commit to either by its global node
ID or by passing both of repositoryNameWithOwner and refName.  For
more details see the documentation for CommittableBranch.
Describing Changes
fileChanges are specified as a FilesChanges object describing
FileAdditions and FileDeletions.
Please see the documentation for FileChanges for more information on
how to use this argument to describe any set of file changes.
Authorship
Similar to the web commit interface, this mutation does not support
specifying the author or committer of the commit and will not add
support for this in the future.
A commit created by a successful execution of this mutation will be
authored by the owner of the credential which authenticates the API
request.  The committer will be identical to that of commits authored
using the web interface.
If you need full control over author and committer information, please
use the Git Database REST API instead.
Commit Signing
Commits made using this mutation are automatically signed by GitHub if
supported and will be marked as verified in the user interface.","clientMutationId: A unique identifier for the client performing the mutation., commit: The new commit., ref: The ref which has been updated to point to the new commit."
POST/PATCH/DELETE,/mutations/createDeployment,Creates a new deployment event.,"autoMerged: True if the default branch has been auto-merged into the deployment ref., clientMutationId: A unique identifier for the client performing the mutation., deployment: The new deployment."
POST/PATCH/DELETE,/mutations/createDeploymentStatus,Create a deployment status.,"clientMutationId: A unique identifier for the client performing the mutation., deploymentStatus: The new deployment status."
POST/PATCH/DELETE,/mutations/createDiscussion,Create a discussion.,"clientMutationId: A unique identifier for the client performing the mutation., discussion: The discussion that was just created."
POST/PATCH/DELETE,/mutations/createEnterpriseOrganization,"Creates an organization as part of an enterprise account. A personal access
token used to create an organization is implicitly permitted to update the
organization it created, if the organization is part of an enterprise that has
SAML enabled or uses Enterprise Managed Users. If the organization is not part
of such an enterprise, and instead has SAML enabled for it individually, the
token will then require SAML authorization to continue working against that organization.","clientMutationId: A unique identifier for the client performing the mutation., enterprise: The enterprise that owns the created organization., organization: The organization that was created."
POST/PATCH/DELETE,/mutations/createEnvironment,Creates an environment or simply returns it if already exists.,"clientMutationId: A unique identifier for the client performing the mutation., environment: The new or existing environment."
POST/PATCH/DELETE,/mutations/createIpAllowListEntry,Creates a new IP allow list entry.,"clientMutationId: A unique identifier for the client performing the mutation., ipAllowListEntry: The IP allow list entry that was created."
POST/PATCH/DELETE,/mutations/createIssue,Creates a new issue.,"clientMutationId: A unique identifier for the client performing the mutation., issue: The new issue."
POST/PATCH/DELETE,/mutations/createLabel,Creates a new label.,"clientMutationId: A unique identifier for the client performing the mutation., label: The new label."
POST/PATCH/DELETE,/mutations/createLinkedBranch,Create a branch linked to an issue.,"clientMutationId: A unique identifier for the client performing the mutation., issue: The issue that was linked to., linkedBranch: The new branch issue reference."
POST/PATCH/DELETE,/mutations/createMigrationSource,Creates a GitHub Enterprise Importer (GEI) migration source.,"clientMutationId: A unique identifier for the client performing the mutation., migrationSource: The created migration source."
POST/PATCH/DELETE,/mutations/createProject,Creates a new project.,"clientMutationId: A unique identifier for the client performing the mutation., project: The new project."
POST/PATCH/DELETE,/mutations/createProjectV2,Creates a new project.,"clientMutationId: A unique identifier for the client performing the mutation., projectV2: The new project."
POST/PATCH/DELETE,/mutations/createProjectV2Field,Create a new project field.,"clientMutationId: A unique identifier for the client performing the mutation., projectV2Field: The new field."
POST/PATCH/DELETE,/mutations/createPullRequest,Create a new pull request.,"clientMutationId: A unique identifier for the client performing the mutation., pullRequest: The new pull request."
POST/PATCH/DELETE,/mutations/createRef,Create a new Git Ref.,"clientMutationId: A unique identifier for the client performing the mutation., ref: The newly created ref."
POST/PATCH/DELETE,/mutations/createRepository,Create a new repository.,"clientMutationId: A unique identifier for the client performing the mutation., repository: The new repository."
POST/PATCH/DELETE,/mutations/createRepositoryRuleset,Create a repository ruleset.,"clientMutationId: A unique identifier for the client performing the mutation., ruleset: The newly created Ruleset."
POST/PATCH/DELETE,/mutations/createSponsorsListing,Create a GitHub Sponsors profile to allow others to sponsor you or your organization.,"clientMutationId: A unique identifier for the client performing the mutation., sponsorsListing: The new GitHub Sponsors profile."
POST/PATCH/DELETE,/mutations/createSponsorsTier,Create a new payment tier for your GitHub Sponsors profile.,"clientMutationId: A unique identifier for the client performing the mutation., sponsorsTier: The new tier."
POST/PATCH/DELETE,/mutations/createSponsorship,"Start a new sponsorship of a maintainer in GitHub Sponsors, or reactivate a past sponsorship.","clientMutationId: A unique identifier for the client performing the mutation., sponsorship: The sponsorship that was started."
POST/PATCH/DELETE,/mutations/createSponsorships,"Make many one-time sponsorships for different sponsorable users or
organizations at once. Can only sponsor those who have a public GitHub
Sponsors profile.","clientMutationId: A unique identifier for the client performing the mutation., sponsorables: The users and organizations who received a sponsorship."
POST/PATCH/DELETE,/mutations/createTeamDiscussion,Creates a new team discussion.,"clientMutationId: A unique identifier for the client performing the mutation., teamDiscussion: The new discussion."
POST/PATCH/DELETE,/mutations/createTeamDiscussionComment,Creates a new team discussion comment.,"clientMutationId: A unique identifier for the client performing the mutation., teamDiscussionComment: The new comment."
POST/PATCH/DELETE,/mutations/declineTopicSuggestion,Rejects a suggested topic for the repository.,"clientMutationId: A unique identifier for the client performing the mutation., topic: The declined topic."
POST/PATCH/DELETE,/mutations/deleteBranchProtectionRule,Delete a branch protection rule.,clientMutationId: A unique identifier for the client performing the mutation.
POST/PATCH/DELETE,/mutations/deleteDeployment,Deletes a deployment.,clientMutationId: A unique identifier for the client performing the mutation.
POST/PATCH/DELETE,/mutations/deleteDiscussion,Delete a discussion and all of its replies.,"clientMutationId: A unique identifier for the client performing the mutation., discussion: The discussion that was just deleted."
POST/PATCH/DELETE,/mutations/deleteDiscussionComment,"Delete a discussion comment. If it has replies, wipe it instead.","clientMutationId: A unique identifier for the client performing the mutation., comment: The discussion comment that was just deleted."
POST/PATCH/DELETE,/mutations/deleteEnvironment,Deletes an environment.,clientMutationId: A unique identifier for the client performing the mutation.
POST/PATCH/DELETE,/mutations/deleteIpAllowListEntry,Deletes an IP allow list entry.,"clientMutationId: A unique identifier for the client performing the mutation., ipAllowListEntry: The IP allow list entry that was deleted."
POST/PATCH/DELETE,/mutations/deleteIssue,Deletes an Issue object.,"clientMutationId: A unique identifier for the client performing the mutation., repository: The repository the issue belonged to."
POST/PATCH/DELETE,/mutations/deleteIssueComment,Deletes an IssueComment object.,clientMutationId: A unique identifier for the client performing the mutation.
POST/PATCH/DELETE,/mutations/deleteLabel,Deletes a label.,clientMutationId: A unique identifier for the client performing the mutation.
POST/PATCH/DELETE,/mutations/deleteLinkedBranch,Unlink a branch from an issue.,"clientMutationId: A unique identifier for the client performing the mutation., issue: The issue the linked branch was unlinked from."
POST/PATCH/DELETE,/mutations/deletePackageVersion,Delete a package version.,"clientMutationId: A unique identifier for the client performing the mutation., success: Whether or not the operation succeeded."
POST/PATCH/DELETE,/mutations/deleteProject,Deletes a project.,"clientMutationId: A unique identifier for the client performing the mutation., owner: The repository or organization the project was removed from."
POST/PATCH/DELETE,/mutations/deleteProjectCard,Deletes a project card.,"clientMutationId: A unique identifier for the client performing the mutation., column: The column the deleted card was in., deletedCardId: The deleted card ID."
POST/PATCH/DELETE,/mutations/deleteProjectColumn,Deletes a project column.,"clientMutationId: A unique identifier for the client performing the mutation., deletedColumnId: The deleted column ID., project: The project the deleted column was in."
POST/PATCH/DELETE,/mutations/deleteProjectV2,Delete a project.,"clientMutationId: A unique identifier for the client performing the mutation., projectV2: The deleted Project."
POST/PATCH/DELETE,/mutations/deleteProjectV2Field,Delete a project field.,"clientMutationId: A unique identifier for the client performing the mutation., projectV2Field: The deleted field."
POST/PATCH/DELETE,/mutations/deleteProjectV2Item,Deletes an item from a Project.,"clientMutationId: A unique identifier for the client performing the mutation., deletedItemId: The ID of the deleted item."
POST/PATCH/DELETE,/mutations/deleteProjectV2Workflow,Deletes a project workflow.,"clientMutationId: A unique identifier for the client performing the mutation., deletedWorkflowId: The ID of the deleted workflow., projectV2: The project the deleted workflow was in."
POST/PATCH/DELETE,/mutations/deletePullRequestReview,Deletes a pull request review.,"clientMutationId: A unique identifier for the client performing the mutation., pullRequestReview: The deleted pull request review."
POST/PATCH/DELETE,/mutations/deletePullRequestReviewComment,Deletes a pull request review comment.,"clientMutationId: A unique identifier for the client performing the mutation., pullRequestReview: The pull request review the deleted comment belonged to., pullRequestReviewComment: The deleted pull request review comment."
POST/PATCH/DELETE,/mutations/deleteRef,Delete a Git Ref.,clientMutationId: A unique identifier for the client performing the mutation.
POST/PATCH/DELETE,/mutations/deleteRepositoryRuleset,Delete a repository ruleset.,clientMutationId: A unique identifier for the client performing the mutation.
POST/PATCH/DELETE,/mutations/deleteTeamDiscussion,Deletes a team discussion.,clientMutationId: A unique identifier for the client performing the mutation.
POST/PATCH/DELETE,/mutations/deleteTeamDiscussionComment,Deletes a team discussion comment.,clientMutationId: A unique identifier for the client performing the mutation.
POST/PATCH/DELETE,/mutations/deleteVerifiableDomain,Deletes a verifiable domain.,"clientMutationId: A unique identifier for the client performing the mutation., owner: The owning account from which the domain was deleted."
POST/PATCH/DELETE,/mutations/dequeuePullRequest,Remove a pull request from the merge queue.,"clientMutationId: A unique identifier for the client performing the mutation., mergeQueueEntry: The merge queue entry of the dequeued pull request."
POST/PATCH/DELETE,/mutations/disablePullRequestAutoMerge,Disable auto merge on the given pull request.,"actor: Identifies the actor who performed the event., clientMutationId: A unique identifier for the client performing the mutation., pullRequest: The pull request auto merge was disabled on."
POST/PATCH/DELETE,/mutations/dismissPullRequestReview,Dismisses an approved or rejected pull request review.,"clientMutationId: A unique identifier for the client performing the mutation., pullRequestReview: The dismissed pull request review."
POST/PATCH/DELETE,/mutations/dismissRepositoryVulnerabilityAlert,Dismisses the Dependabot alert.,"clientMutationId: A unique identifier for the client performing the mutation., repositoryVulnerabilityAlert: The Dependabot alert that was dismissed."
POST/PATCH/DELETE,/mutations/enablePullRequestAutoMerge,Enable the default auto-merge on a pull request.,"actor: Identifies the actor who performed the event., clientMutationId: A unique identifier for the client performing the mutation., pullRequest: The pull request auto-merge was enabled on."
POST/PATCH/DELETE,/mutations/enqueuePullRequest,Add a pull request to the merge queue.,"clientMutationId: A unique identifier for the client performing the mutation., mergeQueueEntry: The merge queue entry for the enqueued pull request."
POST/PATCH/DELETE,/mutations/followOrganization,Follow an organization.,"clientMutationId: A unique identifier for the client performing the mutation., organization: The organization that was followed."
POST/PATCH/DELETE,/mutations/followUser,Follow a user.,"clientMutationId: A unique identifier for the client performing the mutation., user: The user that was followed."
POST/PATCH/DELETE,/mutations/grantEnterpriseOrganizationsMigratorRole,Grant the migrator role to a user for all organizations under an enterprise account.,"clientMutationId: A unique identifier for the client performing the mutation., organizations: The organizations that had the migrator role applied to for the given user."
POST/PATCH/DELETE,/mutations/grantMigratorRole,Grant the migrator role to a user or a team.,"clientMutationId: A unique identifier for the client performing the mutation., success: Did the operation succeed?."
POST/PATCH/DELETE,/mutations/importProject,Creates a new project by importing columns and a list of issues/PRs.,"clientMutationId: A unique identifier for the client performing the mutation., project: The new Project!."
POST/PATCH/DELETE,/mutations/inviteEnterpriseAdmin,Invite someone to become an administrator of the enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., invitation: The created enterprise administrator invitation."
POST/PATCH/DELETE,/mutations/linkProjectV2ToRepository,Links a project to a repository.,"clientMutationId: A unique identifier for the client performing the mutation., repository: The repository the project is linked to."
POST/PATCH/DELETE,/mutations/linkProjectV2ToTeam,Links a project to a team.,"clientMutationId: A unique identifier for the client performing the mutation., team: The team the project is linked to."
POST/PATCH/DELETE,/mutations/linkRepositoryToProject,Creates a repository link for a project.,"clientMutationId: A unique identifier for the client performing the mutation., project: The linked Project., repository: The linked Repository."
POST/PATCH/DELETE,/mutations/lockLockable,Lock a lockable object.,"actor: Identifies the actor who performed the event., clientMutationId: A unique identifier for the client performing the mutation., lockedRecord: The item that was locked."
POST/PATCH/DELETE,/mutations/markDiscussionCommentAsAnswer,Mark a discussion comment as the chosen answer for discussions in an answerable category.,"clientMutationId: A unique identifier for the client performing the mutation., discussion: The discussion that includes the chosen comment."
POST/PATCH/DELETE,/mutations/markFileAsViewed,Mark a pull request file as viewed.,"clientMutationId: A unique identifier for the client performing the mutation., pullRequest: The updated pull request."
POST/PATCH/DELETE,/mutations/markProjectV2AsTemplate,Mark a project as a template. Note that only projects which are owned by an Organization can be marked as a template.,"clientMutationId: A unique identifier for the client performing the mutation., projectV2: The project."
POST/PATCH/DELETE,/mutations/markPullRequestReadyForReview,Marks a pull request ready for review.,"clientMutationId: A unique identifier for the client performing the mutation., pullRequest: The pull request that is ready for review."
POST/PATCH/DELETE,/mutations/mergeBranch,Merge a head into a branch.,"clientMutationId: A unique identifier for the client performing the mutation., mergeCommit: The resulting merge Commit."
POST/PATCH/DELETE,/mutations/mergePullRequest,Merge a pull request.,"actor: Identifies the actor who performed the event., clientMutationId: A unique identifier for the client performing the mutation., pullRequest: The pull request that was merged."
POST/PATCH/DELETE,/mutations/minimizeComment,"Minimizes a comment on an Issue, Commit, Pull Request, or Gist.","clientMutationId: A unique identifier for the client performing the mutation., minimizedComment: The comment that was minimized."
POST/PATCH/DELETE,/mutations/moveProjectCard,Moves a project card to another place.,"cardEdge: The new edge of the moved card., clientMutationId: A unique identifier for the client performing the mutation."
POST/PATCH/DELETE,/mutations/moveProjectColumn,Moves a project column to another place.,"clientMutationId: A unique identifier for the client performing the mutation., columnEdge: The new edge of the moved column."
POST/PATCH/DELETE,/mutations/pinIssue,Pin an issue to a repository.,"clientMutationId: A unique identifier for the client performing the mutation., issue: The issue that was pinned."
POST/PATCH/DELETE,/mutations/publishSponsorsTier,Publish an existing sponsorship tier that is currently still a draft to a GitHub Sponsors profile.,"clientMutationId: A unique identifier for the client performing the mutation., sponsorsTier: The tier that was published."
POST/PATCH/DELETE,/mutations/regenerateEnterpriseIdentityProviderRecoveryCodes,Regenerates the identity provider recovery codes for an enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., identityProvider: The identity provider for the enterprise."
POST/PATCH/DELETE,/mutations/regenerateVerifiableDomainToken,Regenerates a verifiable domain's verification token.,"clientMutationId: A unique identifier for the client performing the mutation., verificationToken: The verification token that was generated."
POST/PATCH/DELETE,/mutations/rejectDeployments,Reject all pending deployments under one or more environments.,"clientMutationId: A unique identifier for the client performing the mutation., deployments: The affected deployments."
POST/PATCH/DELETE,/mutations/removeAssigneesFromAssignable,Removes assignees from an assignable object.,"assignable: The item that was unassigned., clientMutationId: A unique identifier for the client performing the mutation."
POST/PATCH/DELETE,/mutations/removeEnterpriseAdmin,Removes an administrator from the enterprise.,"admin: The user who was removed as an administrator., clientMutationId: A unique identifier for the client performing the mutation., enterprise: The updated enterprise., message: A message confirming the result of removing an administrator., viewer: The viewer performing the mutation."
POST/PATCH/DELETE,/mutations/removeEnterpriseIdentityProvider,Removes the identity provider from an enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., identityProvider: The identity provider that was removed from the enterprise."
POST/PATCH/DELETE,/mutations/removeEnterpriseMember,Removes a user from all organizations within the enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., enterprise: The updated enterprise., user: The user that was removed from the enterprise., viewer: The viewer performing the mutation."
POST/PATCH/DELETE,/mutations/removeEnterpriseOrganization,Removes an organization from the enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., enterprise: The updated enterprise., organization: The organization that was removed from the enterprise., viewer: The viewer performing the mutation."
POST/PATCH/DELETE,/mutations/removeEnterpriseSupportEntitlement,Removes a support entitlement from an enterprise member.,"clientMutationId: A unique identifier for the client performing the mutation., message: A message confirming the result of removing the support entitlement."
POST/PATCH/DELETE,/mutations/removeLabelsFromLabelable,Removes labels from a Labelable object.,"clientMutationId: A unique identifier for the client performing the mutation., labelable: The Labelable the labels were removed from."
POST/PATCH/DELETE,/mutations/removeOutsideCollaborator,Removes outside collaborator from all repositories in an organization.,"clientMutationId: A unique identifier for the client performing the mutation., removedUser: The user that was removed as an outside collaborator."
POST/PATCH/DELETE,/mutations/removeReaction,Removes a reaction from a subject.,"clientMutationId: A unique identifier for the client performing the mutation., reaction: The reaction object., reactionGroups: The reaction groups for the subject., subject: The reactable subject."
POST/PATCH/DELETE,/mutations/removeStar,Removes a star from a Starrable.,"clientMutationId: A unique identifier for the client performing the mutation., starrable: The starrable."
POST/PATCH/DELETE,/mutations/removeUpvote,Remove an upvote to a discussion or discussion comment.,"clientMutationId: A unique identifier for the client performing the mutation., subject: The votable subject."
POST/PATCH/DELETE,/mutations/reopenDiscussion,Reopen a discussion.,"clientMutationId: A unique identifier for the client performing the mutation., discussion: The discussion that was reopened."
POST/PATCH/DELETE,/mutations/reopenIssue,Reopen a issue.,"clientMutationId: A unique identifier for the client performing the mutation., issue: The issue that was opened."
POST/PATCH/DELETE,/mutations/reopenPullRequest,Reopen a pull request.,"clientMutationId: A unique identifier for the client performing the mutation., pullRequest: The pull request that was reopened."
POST/PATCH/DELETE,/mutations/requestReviews,Set review requests on a pull request.,"actor: Identifies the actor who performed the event., clientMutationId: A unique identifier for the client performing the mutation., pullRequest: The pull request that is getting requests., requestedReviewersEdge: The edge from the pull request to the requested reviewers."
POST/PATCH/DELETE,/mutations/rerequestCheckSuite,Rerequests an existing check suite.,"checkSuite: The requested check suite., clientMutationId: A unique identifier for the client performing the mutation."
POST/PATCH/DELETE,/mutations/resolveReviewThread,Marks a review thread as resolved.,"clientMutationId: A unique identifier for the client performing the mutation., thread: The thread to resolve."
POST/PATCH/DELETE,/mutations/retireSponsorsTier,Retire a published payment tier from your GitHub Sponsors profile so it cannot be used to start new sponsorships.,"clientMutationId: A unique identifier for the client performing the mutation., sponsorsTier: The tier that was retired."
POST/PATCH/DELETE,/mutations/revertPullRequest,Create a pull request that reverts the changes from a merged pull request.,"clientMutationId: A unique identifier for the client performing the mutation., pullRequest: The pull request that was reverted., revertPullRequest: The new pull request that reverts the input pull request."
POST/PATCH/DELETE,/mutations/revokeEnterpriseOrganizationsMigratorRole,Revoke the migrator role to a user for all organizations under an enterprise account.,"clientMutationId: A unique identifier for the client performing the mutation., organizations: The organizations that had the migrator role revoked for the given user."
POST/PATCH/DELETE,/mutations/revokeMigratorRole,Revoke the migrator role from a user or a team.,"clientMutationId: A unique identifier for the client performing the mutation., success: Did the operation succeed?."
POST/PATCH/DELETE,/mutations/setEnterpriseIdentityProvider,Creates or updates the identity provider for an enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., identityProvider: The identity provider for the enterprise."
POST/PATCH/DELETE,/mutations/setOrganizationInteractionLimit,Set an organization level interaction limit for an organization's public repositories.,"clientMutationId: A unique identifier for the client performing the mutation., organization: The organization that the interaction limit was set for."
POST/PATCH/DELETE,/mutations/setRepositoryInteractionLimit,Sets an interaction limit setting for a repository.,"clientMutationId: A unique identifier for the client performing the mutation., repository: The repository that the interaction limit was set for."
POST/PATCH/DELETE,/mutations/setUserInteractionLimit,Set a user level interaction limit for an user's public repositories.,"clientMutationId: A unique identifier for the client performing the mutation., user: The user that the interaction limit was set for."
POST/PATCH/DELETE,/mutations/startOrganizationMigration,Starts a GitHub Enterprise Importer organization migration.,"clientMutationId: A unique identifier for the client performing the mutation., orgMigration: The new organization migration."
POST/PATCH/DELETE,/mutations/startRepositoryMigration,Starts a GitHub Enterprise Importer (GEI) repository migration.,"clientMutationId: A unique identifier for the client performing the mutation., repositoryMigration: The new repository migration."
POST/PATCH/DELETE,/mutations/submitPullRequestReview,Submits a pending pull request review.,"clientMutationId: A unique identifier for the client performing the mutation., pullRequestReview: The submitted pull request review."
POST/PATCH/DELETE,/mutations/transferEnterpriseOrganization,Transfer an organization from one enterprise to another enterprise.,"clientMutationId: A unique identifier for the client performing the mutation., organization: The organization for which a transfer was initiated."
POST/PATCH/DELETE,/mutations/transferIssue,Transfer an issue to a different repository.,"clientMutationId: A unique identifier for the client performing the mutation., issue: The issue that was transferred."
