Response ID,AmorphousEndpoint,AmorphousEndpointURating,AmorphousEndpointRRating,ContextlessResource,ContextlessResourceURating,ContextlessResourceRRating,CRUDyEndpoint,CRUDyEndpointURating,CRUDyEndpointRRating,InconsistentDoc,InconsistentDocURating,InconsistentDocRRating,NonDescriptiveEndpoint,NonDescriptiveEndpointURating,NonDescriptiveEndpointRRating,NonHierarchicalNodes,NonHierarchicalNodesURating,NonHierarchicalNodesRRating,NonPertinentDoc,NonPertinentDocURating,NonPertinentDocRRating,NonStandardEndpoint,NonStandardEndpointURating,NonStandardEndpointRRating,PluralizedNodes,PluralizedNodesURating,PluralizedNodesRRating,UnversionedEndpoint,UnversionedEndpointURating,UnversionedEndpointRRating,ParameterTunneling,ParameterTunnelingURating,ParameterTunnelingRRating,InconsistentArchetype,InconsistentArchetypeURating,InconsistentArchetypeRRating,IdentifierAmbiguity,IdentifierAmbiguityURating,IdentifierAmbiguityRRating,FlatEndpoint,FlatEndpointURating,FlatEndpointRRating,TidyEndpoint,TidyEndpointURating,TidyEndpointRRating,ContextualResource,ContextualResourceURating,ContextualResourceRRating,VerblessEndpoint,VerblessEndpointURating,VerblessEndpointRRating,ConsistentDoc,ConsistentDocURating,ConsistentDocRRating,DescriptiveEndpoint,DescriptiveEndpointURating,DescriptiveEndpointRRating,HierarchicalNodes,HierarchicalNodesURating,HierarchicalNodesRRating,PertinentDoc,PertinentDocURating,PertinentDocRRating,StandardEndpoint,StandardEndpointURating,StandardEndpointRRating,SingularizedNodes,SingularizedNodesURating,SingularizedNodesRRating,VersionedEndpoint,VersionedEndpointURating,VersionedEndpointRRating,ParameterAdherence,ParameterAdherenceURating,ParameterAdherenceRRating,ConsistentArchetype,ConsistentArchetypeURating,ConsistentArchetypeRRating,IdentifierAnnotation,IdentifierAnnotationURating,IdentifierAnnotationRRating,StructuredEndpoint,StructuredEndpointURating,StructuredEndpointRRating,Country,Profession,DeveloperPerspective,is_Developer,is_Student,is_Academia,is_Canada,YearsOfExperience,RichardsonMaturity,MaturityLevel,Your perspective on current API design guidelines and practices. ,Do poor linguistic design practices impact the understandability and readability of APIs? ,Do API design practices impact the understandability and readability of APIs? ,Are you happy with the survey design? ,How can we improve our survey design? ,AmorphousEndpointTime,ContextlessResourceTime,CRUDyEndpointTime,InconsistentDocTime,NonDescriptiveEndpointTime,NonHierarchicalNodesTime,NonPertinentDocTime,NonStandardEndpointTime,PluralizedNodesTime,UnversionedEndpointTime,ParameterTunnelingTime,InconsistentArchetypeTime,IdentifierAmbiguityTime,FlatEndpointTime,TidyEndpointTime,ContextualResourceTime,VerblessEndpointTime,ConsistentDocTime,DescriptiveEndpointTime,HierarchicalNodesTime,PertinentDocTime,StandardEndpointTime,SingularizedNodesTime,VersionedEndpointTime,ParameterAdherenceTime,ConsistentArchetypeTime,IdentifierAnnotationTime,StructuredEndpointTime
96,0,4,4,0,4,5,0,3,4,1,3,4,0,5,5,0,4,5,0,5,4,0,5,4,1,4,3,0,4,4,0,4,5,0,4,4,0,4,5,0,5,5,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1, Bangladesh,Student,API user / client developer,0,1,0,0,2,1,2,n/a,Yes,Yes,1,n/a,56.15,10.3,19.1,13.9,19.64,16.2,11.2,12.59,9.98,15.05,21.86,10.06,21.84,12.8,15.77,24.92,20.12,10.5,16.84,13.1,21.36,18.47,18.67,11.99,12.6,24.91,15.97,43.13
98,1,1,1,1,1,1,1,3,3,1,2,2,1,4,3,1,4,4,0,5,5,1,5,5,1,3,3,1,2,2,1,4,4,0,4,4,1,2,2,1,2,2,1,2,2,1,2,2,1,3,3,1,2,2,1,2,2,1,1,1,1,2,2,1,2,2,0,2,2,1,1,1,1,4,4,1,2,2,1,2,2,1,2,2,India ,Software Engineer / Developer,Both API user and developer,1,0,0,0,3,0,3,,,,1,,32.17,10.88,31.52,24.84,31.04,47.16,22.39,11.02,12.15,11.96,13.9,19.25,2182.61,15.94,16.5,17.54,43.17,11.31,26.33,11.91,16.24,11.3,11.23,6.76,10.1,11.71,7.86,9.34
99,0,4,4,1,4,5,0,4,5,1,5,5,0,4,4,1,4,5,0,4,5,0,5,4,0,4,4,0,3,4,0,4,5,0,4,5,1,4,4,0,4,5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,India,Software Engineer / Developer,Both API user and developer,1,0,0,0,5,1,3,,,,1,,10.13,20.08,21.5,10.96,19.48,9.26,6.48,10.8,20.07,23.06,23.47,21.37,23.7,11.99,13.95,13.45,31.11,5.88,16.12,14.51,21.63,18.78,28.77,8.85,9.4,10.65,34.26,14.73
100,0,4,3,0,4,4,0,4,4,0,4,5,0,5,5,0,4,5,0,4,4,0,4,5,0,4,4,0,4,3,0,4,4,0,3,3,1,3,3,1,4,5,1,2,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,Canada,Student,API user / client developer,0,1,0,1,3,1,1,,,,0,,50.21,35.08,32.54,32.34,25.53,14.24,23.17,16.54,11.41,19.41,12.11,17.94,26.72,15.17,25.07,12.87,21.69,23.31,26.56,18.51,21.98,17.12,29.06,19.97,18.28,30.37,43.98,43.91
101,1,4,4,1,5,4,0,4,5,0,4,4,0,4,5,1,4,3,0,4,4,0,4,4,0,4,4,0,4,3,0,3,4,1,4,4,1,4,3,0,5,5,1,1,2,1,2,3,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,0,1,2,1,2,1,1,2,3,1,2,1,0,1,2,1,1,1,1,2,1,Bangladesh,Software Engineer / Developer,API developer / designer,1,0,0,0,3,1,2,,,,1,,10.62,70.59,15.79,11.45,14.14,8.55,42.26,21.38,39.67,11.3,11.89,57.07,8.75,8.17,15.54,45.99,9.78,7.67,10.27,16.4,33.86,13.19,9.89,54.4,25.73,12.82,10.69,58.23
103,0,4,5,0,4,4,0,4,4,0,4,3,1,3,3,1,3,3,1,3,4,0,4,4,0,4,4,1,3,3,1,4,3,1,3,3,1,3,3,1,3,4,1,2,2,1,1,1,0,1,1,1,1,1,1,1,1,0,1,2,1,1,2,1,1,1,1,2,2,1,2,2,1,1,1,1,2,2,1,2,2,1,1,1,Canada,Software Engineer / Developer,API developer / designer,1,0,0,1,4,0,1,,,,1,,14.14,17.09,10.12,8.15,54.69,61.36,10.59,7.12,33.44,9.43,16.53,55.56,9.06,11.37,15.89,14.99,44.18,11.75,9.35,7.41,5.04,6.06,5.74,10.36,5.95,12.57,9.23,11.98
105,1,4,3,0,4,4,0,4,3,1,4,4,1,3,3,1,4,4,0,3,4,1,4,4,1,3,4,1,4,4,1,4,3,1,4,4,1,4,4,1,4,5,1,2,1,1,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,Canada,Student,API user / client developer,0,1,0,1,2,0,1,,,,1,,9.14,114.71,9.13,13.27,13.94,10.49,77.11,12.15,27.22,6.4,9.61,5.94,9.21,12.27,8.68,9.78,12.08,7.59,10.36,34.59,6.04,8.79,15.21,14.65,8.17,13.89,5.89,7.55
106,1,3,3,1,4,3,1,3,3,0,4,4,0,4,4,0,4,5,0,4,4,0,4,4,1,3,3,1,4,3,1,3,3,0,4,4,1,4,3,0,4,4,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,Bangladesh,Software Engineer / Developer,API user / client developer,1,0,0,0,2,0,1,,,,1,,27.85,9.11,43.73,18.33,44.93,17.3,50.55,18.23,20.67,26.18,8.17,13.27,19.3,8.88,42.67,12.72,12.81,39.76,12.72,18.52,22.46,15.8,28.6,11.21,17.42,10.71,11.35,13.13
107,1,3,3,1,4,3,0,4,4,0,3,3,0,4,5,0,4,3,0,4,4,0,4,5,1,4,5,0,4,4,1,4,5,0,3,4,1,4,4,1,4,5,1,1,1,1,4,5,1,2,2,1,1,1,1,1,1,0,1,1,0,1,2,0,1,1,1,2,2,1,2,1,0,2,2,0,2,2,1,2,2,1,2,3,Canada,Student,API user / client developer,0,1,0,1,2,1,2,,,,1,,73.7,9.64,13.48,40.78,51.55,20.85,75.09,15.46,7.74,6.36,14.13,83.38,25.47,31.83,32.3,55.58,31.26,10.95,17.01,21.88,59.74,34.96,6.5,10.27,9.68,12.27,11.23,11.48
108,0,4,3,0,4,3,0,4,4,0,3,3,1,3,3,0,3,2,0,3,3,1,4,5,1,4,3,0,4,4,0,4,3,0,4,3,0,4,3,0,3,4,1,1,2,0,1,1,0,2,2,1,1,1,0,1,1,1,2,1,1,2,2,1,2,1,0,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,1,Canada,Software Engineer / Developer,API developer / designer,1,0,0,1,3,1,3,,,,1,,21.24,6.9,8.47,9.4,26.81,60.95,17.56,10.11,72.31,57.75,25.46,63.15,66.82,6.24,24.88,94.46,8.84,7.98,11.47,41.99,9.12,8.79,10.31,9.9,31.53,16.87,19.7,8.58
109,0,3,3,1,4,4,1,4,4,1,4,4,1,4,4,1,3,3,0,4,3,1,3,4,0,4,4,0,3,3,0,4,4,0,4,4,1,3,3,1,3,3,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,0,2,2,1,1,1,1,1,1,1,1,2,1,3,3,0,2,2,1,1,1,1,1,2,Canada,Student,API user / client developer,0,1,0,1,1,0,1,,,,1,,5.18,142.26,34.83,21.63,48.72,49.03,31.18,35.82,28.66,68.94,35.43,36.18,27.06,66.92,24.43,34.22,66.32,56.62,68.71,9.15,7.47,41.53,35.97,30.68,15.64,51.48,58.79,47.15
121,1,3,2,1,1,1,0,1,1,1,1,1,0,2,2,1,1,1,0,2,2,1,2,2,0,2,2,1,2,1,0,1,1,0,2,2,0,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,0,2,2,0,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,2,2,Bangladesh ,Student,Other,0,1,0,0,0,0,2,Its really great from what I've seen,"Yes, they hamper our comprehensiveness",Yes,1,By giving some examples upfront as a heads up,68.9,21.99,18.68,13.79,13,22.88,17.58,10.85,26.14,26.22,15.62,19.87,19.25,12.54,13.1,12.7,11.54,10.53,13.9,15.3,13.96,8.75,13.58,10.38,7.46,17.71,10.45,15.97
154,0,5,3,0,3,3,0,3,2,0,4,5,1,2,2,0,2,2,1,3,4,1,3,4,0,2,1,1,2,5,0,2,1,0,3,4,0,3,4,1,3,5,1,1,2,1,1,1,1,2,1,1,2,1,0,2,2,1,1,1,1,3,1,1,2,3,1,2,2,1,3,2,1,1,1,0,2,2,1,2,2,1,1,2,Bangladesh,Student,Other,0,1,0,0,0,0,2,,,,1,,158.48,89.26,36.9,23.64,38.61,39.84,40.91,22.24,16.15,40.4,20.84,56.06,32.22,30.75,12.51,21.54,20.8,12.95,18.39,25.15,28.29,19.38,21.45,22.16,19.75,26.72,27.8,28.1
155,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,Bangladesh,Student,student,0,1,0,0,0,0,1,i have no idea,yes,yes,1,update design's thougt,44.79,50.55,16.19,12.62,12.15,23,15.88,12.69,24.57,11.4,12.17,16.93,17.8,13.45,14.66,11.85,15.56,9.56,12.08,15.65,15.99,12.81,11.99,11.77,16.95,12.3,16.43,11.86
163,0,3,3,0,3,3,0,4,4,1,2,2,0,3,2,1,3,3,0,3,3,0,2,2,1,3,3,1,2,2,1,2,2,1,4,4,0,4,4,1,2,2,1,1,1,1,2,2,1,2,2,1,2,1,1,2,2,1,2,2,0,3,3,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,2,Bangladesh,Student,Other,0,1,0,0,1,0,2,,,,0,There are  a few numbers of repetitive questions.i think the duplicate questions should have been removed ,37.42,27.02,12.21,18.49,262.14,36.29,29.9,38.81,15.67,12.8,18.11,28.26,25.71,15.16,22.11,10.94,18.24,9.33,12.2,16.03,34.22,59.48,60.7,9.13,5.74,61.5,9.81,6.97
169,0,4,4,0,4,4,0,4,4,0,4,4,1,2,2,0,2,2,0,4,4,0,3,4,0,3,4,1,4,4,0,5,4,0,4,3,0,4,3,0,4,5,1,5,5,1,3,2,0,3,4,1,2,3,0,2,1,0,2,2,1,4,4,1,4,4,0,4,3,1,3,3,0,4,4,0,4,4,0,4,4,0,4,4,Bangladesh ,Student,Other,0,1,0,0,0,0,1,,,,0,,67.15,31.62,52.69,20.46,14.54,39.1,29.99,13.63,32.27,63.14,39.14,16.6,22.63,18.79,9.43,17.27,25.45,16.73,15.47,14.62,11.76,16.25,12.62,15.1,10.13,13.6,11.61,11.52
173,0,2,4,1,2,2,0,1,1,1,1,1,1,2,2,1,1,1,0,2,2,1,4,4,1,1,2,1,1,1,0,2,2,0,4,4,0,1,2,1,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,Bangladesh ,Student,API user / client developer,0,1,0,0,0,0,1,"API is a necessary tool in web development and so the easier it is to understand it, the better.",Ofc.,Yeah.,1,Some questions were repeated like 1/3 was repeated. ,209.29,67.98,34.9,23.18,72.82,58.73,75.38,108.29,25.6,75.94,13.92,57.68,85.11,62.73,104.06,19.34,21.48,7.62,11.08,69.08,33.96,12.69,12.68,21.21,11.75,26.24,12.81,20.83
175,0,4,5,1,3,3,0,3,3,1,2,2,1,2,3,0,3,4,0,4,4,0,3,2,1,3,3,1,3,3,1,3,4,0,3,4,1,3,3,0,3,4,1,3,2,1,2,3,1,2,2,1,3,2,1,3,3,0,3,3,0,2,3,0,3,2,1,2,2,1,2,3,1,2,3,1,3,2,1,3,2,1,2,3,Bangladesh ,Student,Both API user and developer,0,1,0,0,1,0,2,I think this API readability is difficult for beginners it should be more simplified.,It need to be more simplification.,Yes i think API design practices is helping to more understand-ability and readability of APIs.,0,It is default to understand if the design was more simplified because everyone not understand the APIs design.,130.88,67.25,28.83,31.88,52.84,42.49,63.22,36.68,21.06,37.62,25.08,17.23,12.99,7.48,10.02,11.69,16.58,7.65,9.1,69.21,7.21,12.04,13.49,9.87,10.35,10.35,9.3,29.09
179,0,5,5,0,3,3,1,3,3,1,3,3,0,4,4,1,3,3,0,3,3,0,3,3,1,3,3,1,5,5,0,3,3,0,3,3,0,4,4,1,3,3,0,3,3,0,3,3,1,3,3,1,3,3,1,3,3,1,3,3,0,3,3,0,3,3,1,3,3,1,3,3,1,3,3,0,3,3,0,3,3,1,3,3,Bangladesh,Student,Other,0,1,0,0,1,0,1,,,,1,,142.55,43.24,23.65,19.61,66.13,93.6,45.48,36.22,52.13,46.33,34.35,24.9,49.37,57.97,35.19,26.25,27.59,14.53,25.76,21.95,10.18,14.76,12.61,11.93,20.66,13.36,16.45,10.55
180,0,2,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,2,1,0,2,3,0,3,3,1,2,3,1,3,2,0,2,2,0,3,3,1,3,2,0,3,2,1,2,2,0,3,2,1,2,1,1,2,2,1,2,2,1,2,2,1,2,2,0,2,2,0,3,2,1,2,2,1,2,2,1,3,3,1,3,3,Bangladesh,Student,Other,0,1,0,0,0,0,2,New in this field ,Yes,Yes,1,,74.02,44.99,378.92,17.05,27.68,34.26,55.89,95.77,31.64,17.65,36.41,36.49,35.62,25.7,18.94,18.9,14.65,9.88,15.29,14.1,24.13,18.25,12.08,12.95,9.2,40.73,34.29,9.11
192,0,2,2,1,1,1,1,1,1,1,2,2,0,2,3,1,1,1,0,2,2,1,1,1,1,2,2,1,1,1,1,3,4,0,2,2,1,2,2,1,4,4,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,1,2,2,0,5,5,1,2,2,1,2,2,1,2,2,1,1,2,1,1,2,1,4,4,1,4,4,Sweden,Teaching (Professor),API user only,0,0,1,0,1,0,2,,,,1,,48.29,188.92,69,17.46,24.99,30.49,26.34,105.36,45.87,13.44,93.71,37.07,32.23,70.69,15.5,12.3,29.18,45.33,20.99,21.07,72.31,70.43,86.13,16.82,45.47,60.83,65.04,15.07
202,0,4,4,0,4,4,0,2,2,1,1,1,1,3,3,1,3,3,0,3,3,0,2,2,0,2,2,0,4,4,0,3,3,0,4,4,1,3,3,0,3,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,1,1,0,2,2,1,3,3,0,3,3,0,2,2,0,3,3,Bangladesh ,Student,Other,0,1,0,0,4,0,2,Design needs to be more readable for users ,Yes,Yes,1,Design APIs more readable and understandable way,108.5,45.91,19.83,21.65,281.61,33.42,31.79,33.66,45.87,53.04,19.04,42.29,13.35,26.77,24.38,18.4,32.31,25.02,15.85,17.15,24.26,26.49,24.25,32.72,32.97,26.83,16.17,27.45
