participant_id,group_id,VerbControllerIR,VerbControllerIR_rating,RC415IR,RC415IR_rating,PathHierarchy2FR,PathHierarchy2FR_rating,GETRetrieveIR,GETRetrieveIR_rating,PathHierarchy3FR,PathHierarchy3FR_rating,NoRC200ErrorIR,NoRC200ErrorIR_rating,NoTunnelFR,NoTunnelFR_rating,PluralNounFR,PluralNounFR_rating,POSTCreateIR,POSTCreateIR_rating,PathHierarchy1IR,PathHierarchy1IR_rating,CRUDNamesFR,CRUDNamesFR_rating,RC401FR,RC401FR_rating,VerbControllerFR,VerbControllerFR_rating,RC415FR,RC415FR_rating,PathHierarchy2IR,PathHierarchy2IR_rating,GETRetrieveFR,GETRetrieveFR_rating,PathHierarchy3IR,PathHierarchy3IR_rating,NoRC200ErrorFR,NoRC200ErrorFR_rating,NoTunnelIR,NoTunnelIR_rating,PluralNounIR,PluralNounIR_rating,POSTCreateFR,POSTCreateFR_rating,PathHierarchy1FR,PathHierarchy1FR_rating,CRUDNamesIR,CRUDNamesIR_rating,RC401IR,RC401IR_rating,VerbControllerIRTime,RC415IRTime,PathHierarchy2FRTime,GETRetrieveIRTime,PathHierarchy3FRTime,NoRC200ErrorIRTime,NoTunnelFRTime,PluralNounFRTime,POSTCreateIRTime,PathHierarchy1IRTime,CRUDNamesFRTime,RC401FRTime,VerbControllerFRTime,RC415FRTime,PathHierarchy2IRTime,GETRetrieveFRTime,PathHierarchy3IRTime,NoRC200ErrorFRTime,NoTunnelIRTime,PluralNounIRTime,POSTCreateFRTime,PathHierarchy1FRTime,CRUDNamesIRTime,RC401IRTime,Country,Profession,DeveloperPerspective,DeveloperPerspective[other],is_Student,is_Academia,is_Germany,YearsOfExperience,RichardsonMaturity,MaturityLevel,AdditionalComment
22,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,3,1,2,1,2,1,1,1,4,1,1,1,2,1,1,0,3,1,2,,,,,,,,,,,,,14.09,49.13,24.95,34.99,24.99,25.92,66.8,26.72,17.09,20.16,39.95,67.54,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,8,1,2,
23,1,0,1,0,3,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,40.4,47.7,18.06,33.35,35.18,35.46,21.52,19.7,24.06,30.89,19.42,22.1,,,,,,,,,,,,,United States,Front End Web Designer,API user / client developer,,0,0,0,3,0,,
27,1,1,1,1,3,1,2,0,5,1,3,0,5,0,4,1,1,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,7.38,11.13,26.36,91.37,38.67,109.31,54.66,70.48,41.74,86.2,33.01,28.06,,,,,,,,,,,,,Germany,Consultant,Both API user and developer,,0,0,1,5,1,2,
28,1,0,3,1,2,1,1,1,2,0,2,0,5,1,1,1,1,0,1,1,3,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,17.69,34.72,11.99,19.81,25.97,64.88,27.63,17.61,9.5,17.13,18.47,24.09,,,,,,,,,,,,,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,5,0,,
29,1,1,2,1,2,1,1,0,3,1,3,0,3,1,2,1,2,0,2,1,4,1,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,44.24,55.22,22.51,24.09,41.66,60.44,43.82,19.28,11.6,63.21,36.43,38.61,,,,,,,,,,,,,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,6,0,,
30,2,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,4,1,5,1,2,1,2,1,2,0,4,1,3,1,2,1,2,0,4,1,3,,,,,,,,,,,,,13.84,22.39,54.94,13.63,18.86,24.76,25.09,11.97,73.2,23.24,18.22,24.58,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,5,1,2,
31,1,1,4,1,4,1,1,1,4,0,4,0,3,1,2,1,1,0,3,1,3,1,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,41,40.96,21.85,71.48,55.57,36.84,34.93,21.19,43.36,42.34,37.36,48.16,,,,,,,,,,,,,Germany,Researcher,Both API user and developer,,0,1,1,5,0,,
34,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,4,1,1,1,2,1,2,1,4,1,4,1,1,1,2,0,2,1,4,,,,,,,,,,,,,18.3,30.4,47.06,15.22,22.18,27.08,43.28,26.23,11.55,15.29,19.9,71.27,Germany,Researcher,Both API user and developer,,0,1,1,5,1,2,
35,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,0,5,1,1,1,3,1,1,0,3,1,1,1,1,1,2,0,5,1,2,,,,,,,,,,,,,19.14,38.03,56.5,14.22,29.69,26.24,18.43,21.36,9.74,16.99,18.14,41.1,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,5,0,,
37,2,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,2,1,4,1,3,1,3,1,2,1,2,1,2,1,1,1,1,1,4,1,3,,,,,,,,,,,,,11.55,15.38,66.53,20.71,34.17,31.57,56.77,13.07,15.36,10.73,29.84,56.3,Germany,Software Architect,Both API user and developer,,0,0,1,13,1,2,
38,2,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,4,0,1,1,1,1,3,1,1,0,1,1,1,1,1,1,1,0,2,0,3,,,,,,,,,,,,,35.65,143.75,25.96,34.21,56.79,29.82,32.03,49.83,9.91,32.47,44.85,162.44,Germany,Student,Both API user and developer,,1,0,1,1,0,,
39,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,1,2,1,3,1,3,1,2,0,5,1,4,1,4,1,3,0,5,0,3,,,,,,,,,,,,,25.09,46.85,19.14,22.2,24.89,27.1,36.11,41.79,51.96,36.89,32.37,34.93,Germany,Student,Both API user and developer,,1,0,1,1,0,,
40,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,5,1,1,1,1,1,1,0,4,1,3,1,1,1,1,1,4,1,4,,,,,,,,,,,,,59,59.49,113.35,36.72,41.27,68.76,134.77,55.1,38.71,33.39,89.47,81.05,Spain,Lecturer,Both API user and developer,,0,1,0,10,1,2,
41,2,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,0,3,1,1,1,1,1,2,0,2,1,1,1,1,1,1,0,2,1,4,,,,,,,,,,,,,51.38,52.34,30.99,21.56,15.89,33.08,19.9,13.36,15.45,28.43,18.67,57.82,Germany,Student,Both API user and developer,,1,0,1,2,0,,
42,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,4,1,2,1,3,1,2,0,5,1,2,1,1,1,1,0,3,0,5,,,,,,,,,,,,,22.22,50.62,44.65,19.29,24.15,44.65,119.93,25.55,19.27,16.98,43.95,118.27,Italy,Researcher,Both API user and developer,,0,1,0,5,0,,
43,2,,,,,,,,,,,,,,,,,,,,,,,,,0,4,1,2,1,3,1,4,1,5,1,1,0,3,1,1,1,2,1,1,1,5,0,4,,,,,,,,,,,,,46.66,61.14,58.77,54.75,70.72,53.04,41.3,37.7,64.86,25.39,79.45,65.55,Germany,Student,Both API user and developer,,1,0,1,5,0,,
44,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,5,1,1,1,1,1,2,0,4,0,5,1,1,1,1,1,4,1,4,,,,,,,,,,,,,15.86,23.39,68.74,21.37,21.9,27.16,66.53,63.32,22.93,23.37,47.09,50.2,Germany,Researcher,Both API user and developer,,0,1,1,8,1,2,
45,1,0,4,1,2,1,1,1,3,1,3,0,3,0,4,1,4,1,2,0,5,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,48.1,46.19,24.63,74.93,24.42,36.26,39.99,24.36,20.02,36.59,19.75,35.64,,,,,,,,,,,,,Germany,Software Engineer / Developer,API user / client developer,,0,0,1,1,0,,
46,1,1,3,1,2,1,1,0,3,1,3,1,5,0,3,1,2,1,3,1,5,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,47.72,40.84,31.4,28.1,32.68,113.41,40.76,31.49,27.55,60.61,35.22,28.22,,,,,,,,,,,,,Spain,Software Engineer / Developer,Both API user and developer,,0,0,0,2,0,,
49,1,1,3,0,5,1,2,1,3,1,4,1,3,0,4,1,2,0,2,1,2,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,57.06,20.7,20,75.08,73.43,42.73,31.68,17.29,74.9,38.18,24.17,37.32,,,,,,,,,,,,,Germany,Researcher,Other,none,0,1,1,1,0,,
50,2,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,1,1,3,1,1,1,2,1,2,1,5,1,2,1,2,1,1,0,2,0,4,,,,,,,,,,,,,15.93,15.72,13.83,8.45,14.73,20.52,52.15,26.13,8.89,9.96,13.91,41.61,United States,Software Engineer / Developer,Both API user and developer,,0,0,0,7,0,,
51,1,1,2,0,4,1,2,0,3,1,3,1,3,0,3,1,2,0,4,1,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,31.72,131.77,17.08,22.72,34.47,26.05,33.67,21.6,34.46,35.14,13.75,21.51,,,,,,,,,,,,,Germany,Software Architect,Both API user and developer,,0,0,1,1,0,,
52,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,3,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,71.61,56.46,24.79,85.79,23.47,158.21,13.4,10.93,73.22,56.56,22.94,25.26,,,,,,,,,,,,,Portugal,Researcher,Both API user and developer,,0,1,0,10,0,,I couldn't find any 100% correct answer to the question shown at 33% of survey completion.
54,1,1,3,1,3,1,2,0,4,1,4,1,2,0,4,1,1,1,3,1,4,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,48.05,79.17,23.23,78.06,44.85,44.53,63.69,19.03,19.64,82.89,38.08,63.71,,,,,,,,,,,,,Germany,Researcher,Both API user and developer,,0,1,1,4,0,,Web Service design and use is only a small part of my duties.
55,1,1,4,1,1,1,1,0,5,1,3,,,1,4,1,1,1,5,1,2,1,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,105.83,63.28,28.45,149.08,55.23,,118.65,25.62,132.19,90.58,32.48,54.34,,,,,,,,,,,,,Netherlands,Manager,Both API user and developer,,0,0,0,10,0,,
59,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,4,1,2,1,1,1,1,1,3,1,2,1,1,1,1,1,3,0,3,,,,,,,,,,,,,42.7,96.78,92.95,64.98,40.38,57.22,108.28,69.96,17.85,46.95,84.31,51.42,Portugal,Student,Both API user and developer,,1,0,0,3,0,,
60,1,1,2,1,3,1,1,0,4,1,2,1,5,1,3,1,1,0,3,1,5,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,15.95,53.26,22.87,28.45,18.62,46.94,22.89,15.25,19.68,28.52,24.53,27.18,,,,,,,,,,,,,Portugal,Student,Both API user and developer,,1,0,0,2,0,,
63,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,1,4,1,1,1,1,1,1,0,4,1,1,1,2,0,1,1,2,1,2,,,,,,,,,,,,,21.17,86.42,30.35,13.5,18.73,20.1,49.25,25.91,25.66,23.26,21.88,53.56,Portugal,Student,Both API user and developer,,1,0,0,2,0,,
65,1,0,4,1,2,1,1,0,4,1,2,1,1,1,2,1,1,0,2,0,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,33.09,30.8,14.93,46.14,41.71,21.43,43.09,14.67,19.8,30.62,27.95,47.02,,,,,,,,,,,,,Portugal,Student,Both API user and developer,,1,0,0,2,0,,
67,2,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,1,5,1,1,1,2,1,2,1,3,1,5,1,1,1,2,1,5,1,5,,,,,,,,,,,,,29.37,41.3,76.35,23.6,34.08,42.38,53.11,28.19,25.33,18.92,54.23,154.62,Portugal,Student,API developer / designer,,1,0,0,1,0,,
68,1,1,3,1,4,1,2,1,3,1,4,1,3,1,4,1,1,1,5,,,1,2,1,5,,,,,,,,,,,,,,,,,,,,,,,,,52.02,167.35,29.3,64.12,162.99,80.75,143.48,21.23,128.06,,48.54,237.67,,,,,,,,,,,,,Portugal,Student,Both API user and developer,,1,0,0,2,0,,
69,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,4,1,1,1,3,1,1,1,3,1,1,1,1,1,1,0,1,1,3,,,,,,,,,,,,,31.95,46.43,62.81,38.02,56.93,32.52,69.42,24.2,34.12,22.47,15.22,66.23,Portugal,Student,Both API user and developer,,1,0,0,2,0,,
70,1,1,2,1,1,1,1,1,4,1,1,1,2,1,1,1,1,1,3,1,4,1,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,21.41,51.48,11.9,33.56,16.97,36.55,71.06,8.65,24.45,41.75,19.05,27.03,,,,,,,,,,,,,Portugal,Student,API developer / designer,,1,0,0,3,0,,
71,1,1,1,1,3,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,42.77,113.83,23.1,39.15,73.87,39.36,82.96,19.84,33.16,37.38,20.44,45.82,,,,,,,,,,,,,Portugal,Student,API developer / designer,,1,0,0,3,0,,
72,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,2,1,1,1,1,1,4,1,1,1,1,1,1,1,3,1,2,,,,,,,,,,,,,15.25,30.43,17.31,10.52,27.37,31.78,47.41,9.78,18.13,13.95,25.21,40.06,Portugal,Student,Both API user and developer,,1,0,0,3,0,,
76,1,0,3,1,2,1,1,1,1,0,2,1,1,,,1,1,,,0,2,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,42.94,98.89,20.65,33,53.92,37.92,,23.66,,21.04,50.25,98.26,,,,,,,,,,,,,Portugal,Student,API user / client developer,,1,0,0,1,0,,
78,2,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,1,1,5,1,1,1,3,1,3,1,4,1,4,1,1,1,1,1,4,1,2,,,,,,,,,,,,,28.4,18.72,18.43,12.14,20.14,46.11,49.14,33.56,12.37,56.32,19.35,16.08,Germany,Researcher,Both API user and developer,,0,1,1,7,1,3,
79,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,4,1,2,1,1,1,1,1,3,1,3,1,1,1,1,0,2,1,4,,,,,,,,,,,,,32.23,44.73,60.48,25.85,25.02,27.98,48.04,32.25,15.49,10.16,33.09,43.41,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,5,0,,
80,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,4,1,3,1,3,1,2,1,5,1,1,1,2,1,1,0,5,1,5,,,,,,,,,,,,,24.12,27.74,34.11,22.59,32.77,29.44,39.96,18.57,23,17.81,47.57,65.73,Switzerland,Researcher,Both API user and developer,,0,1,0,13,1,2,
85,1,1,4,1,1,1,1,1,2,1,2,1,4,1,2,1,1,0,5,1,3,1,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,97.45,86.8,22.56,58.11,47.31,105.39,46.72,25.25,70.74,44.66,27.5,63.64,,,,,,,,,,,,,Spain,Researcher,Both API user and developer,,0,1,0,7,0,,
87,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,1,4,1,3,1,2,1,2,0,2,1,3,1,2,1,2,0,5,1,5,,,,,,,,,,,,,31.13,38.06,35.76,73.58,14.57,28.29,19,17.48,17.73,11.83,19.47,58.39,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,3,1,2,
89,1,0,2,1,2,1,2,0,4,1,4,0,4,1,3,1,2,1,5,1,5,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,51.73,46.69,24.28,38.2,35.5,71.73,45.24,21.76,68.23,25.14,47.04,58.65,,,,,,,,,,,,,Antarctica,Software Engineer / Developer,Other,Offered perspectives are unclear. For me a REST API is offered for consumption to both end users (browsers) and automated systems.,0,0,0,10,1,2,
92,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,3,1,1,1,2,0,1,1,3,1,1,1,1,0,4,0,4,,,,,,,,,,,,,27.76,36.97,72.32,53.7,30.95,130.43,90.06,47.23,84.65,13.79,72.4,192.83,Germany,Consultant,Both API user and developer,,0,0,1,10,1,3,"In general, none of the questions were related to REST or RESTful HTTP. Instead it was a comprehension test for Swagger. Most questions aimed at extracting request semantics from the URI structure, although REST considers URIs to be opaque identifiers. This is IMHO pretty misleading when this survey aims at REST and RESTfulness. Also the question with the empty bearer token was odd to me. Since the screenshot did not require any auth, none of the answers looked correct to me. I would have expected a 401 if the bearer token is empty or wrong."
95,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,3,1,2,1,1,1,4,1,3,1,2,1,2,1,4,1,5,,,,,,,,,,,,,45.55,51.47,28.72,33.58,32.8,57.24,56.86,25.37,38.46,27.43,53.64,77.73,Germany,Researcher,Both API user and developer,,0,1,1,3,1,2,
97,1,1,3,1,1,1,1,1,2,1,2,0,3,0,1,1,1,1,1,,,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,109.66,46.53,23.56,30.4,22.9,89.9,20.4,30.05,19.01,,18.66,22.86,,,,,,,,,,,,,Germany,Researcher,Both API user and developer,,0,1,1,2,0,,
99,1,1,1,1,2,1,1,0,5,1,3,0,5,0,2,1,1,1,3,1,5,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,15,43.12,20.85,33.68,86.75,29.04,23.18,18.29,22.23,28.99,22.28,28.1,,,,,,,,,,,,,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,5,0,,
101,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,1,1,2,1,3,1,1,0,2,1,1,1,1,1,1,0,3,0,4,,,,,,,,,,,,,18.15,64.13,36.21,39.46,31.95,30.25,23.64,9.7,12.4,26.06,20.07,36.34,Germany,Student,API user / client developer,,1,0,1,1,0,,
102,1,0,2,1,2,1,1,1,2,0,2,0,2,1,2,1,1,0,2,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,21.96,48.58,27.24,34.31,42.15,57.81,18.29,28.29,24.21,19.03,12.7,12.27,,,,,,,,,,,,,Germany,Software Engineer / Developer,API user / client developer,,0,0,1,2,0,,
103,1,1,3,1,1,1,1,1,3,1,1,1,1,1,4,1,1,1,5,1,3,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,45.27,50.04,28.07,45.71,23.6,61.12,31.98,16.4,37.77,39.5,17.66,57.61,,,,,,,,,,,,,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,10,1,3,"You ""REST"" ApI example where presented in a swagger like style. I'd rather classify it as ""HTTP API"". Often the Status Codes where missleading or unprecise but the meaning could - in this ""test"" - be deducted from the request and documentation.  Because of this I am not sure if my answers lead to the correct impression."
104,1,1,2,1,1,1,1,1,3,1,4,0,5,1,2,1,1,0,2,0,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,25.88,40.2,19.82,17.01,39.05,41.18,20.65,11.19,19.69,16.86,11.05,29.49,,,,,,,,,,,,,United States,Software Tester,API developer / designer,,0,0,0,4,0,,
105,1,0,3,1,3,1,1,1,3,1,2,1,4,0,2,1,1,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,40.8,53.19,29.78,96.02,39.23,63.81,30.02,16.8,50.97,37.19,24.18,32.81,,,,,,,,,,,,,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,7,0,,
108,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,3,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,0,2,1,2,,,,,,,,,,,,,30.46,116.44,29.9,15.53,21.93,42.97,17.02,7.43,13.22,11.9,25.76,27.64,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,3,0,,
109,2,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,4,0,2,1,1,1,1,1,2,0,3,0,3,1,1,1,1,0,4,0,4,,,,,,,,,,,,,19.97,26.94,28.26,22.43,23.61,34.61,25.67,14.48,11.84,17.78,25.57,51.73,Austria,System engineer,API user / client developer,,0,0,0,4,0,,
110,1,1,3,1,2,1,1,1,1,0,3,0,4,1,4,1,1,1,4,1,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,42.46,59.91,17.13,17.34,29.17,32.67,42.75,21.69,25.52,55.93,22.62,21.33,,,,,,,,,,,,,Germany,Software Engineer / Developer,API user / client developer,,0,0,1,1,0,,
112,2,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,2,1,3,1,1,1,3,1,1,1,4,1,3,1,1,1,1,0,5,1,3,,,,,,,,,,,,,63.13,42.02,46,27.82,35.22,83.14,115.85,127.66,39.71,81.19,53.34,21.27,Germany,Software Engineer / Developer,Both API user and developer,,0,0,1,3,0,,
115,1,1,2,1,4,1,1,0,2,0,3,,,0,3,1,1,0,3,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,8.54,17.93,18.29,24.04,16.05,,49.07,10.66,79.98,11.13,17.11,,,,,,,,,,,,,,Austria,Student,Both API user and developer,,1,0,0,3,1,3,
